# Fig. 2C - total phosphorylation (Eq. 2) vs log10([E]/[F]), N = 1..20 sites
# reaction-limited regime, with enzyme refractory state
# Dushek O, van der Merwe PA, Shahrezaei V (2011) Biophysical Journal 100:1189-1197. doi:10.1016/j.bpj.2011.01.060
# Digitized by digitize_dushek2011.py from the vector paths of page 4.
# Series identity is drawing order, cross-checked against the MATLAB colour cycle and against curve nesting; the axes calibration is validated on the exact 0.5 crossing at log10([E]/[F]) = 0.
n_sites,log10_E_over_F,total_phosphorylation
9,1.1785,0.893118
9,1.24447,0.900325
9,1.37994,0.912127
9,1.44769,0.916712
9,1.51541,0.920649
9,1.6509,0.927208
9,1.71862,0.929829
9,1.92183,0.93573
9,1.98957,0.937046
10,-2,0.05836
10,-1.93397,0.0596754
10,-1.73076,0.0655761
10,-1.66302,0.0681979
10,-1.52755,0.0747472
10,-1.45981,0.078684
10,-1.39209,0.0832787
10,-1.32434,0.0885219
10,-1.2566,0.0950803
10,-1.18888,0.102287
10,-1.12113,0.110161
10,-1.05339,0.119999
10,-0.98564,0.130485
10,-0.919662,0.142945
10,-0.851917,0.157377
10,-0.784171,0.173106
10,-0.716451,0.190818
10,-0.648706,0.210485
10,-0.580961,0.232791
10,-0.513216,0.257061
10,-0.445495,0.283944
10,-0.37775,0.31279
10,-0.310005,0.34361
10,-0.24226,0.376403
10,-0.17454,0.410501
10,-0.106795,0.445906
10,-0.0390744,0.481969
10,0.0286711,0.518699
10,0.0964158,0.554752
10,0.162419,0.590166
10,0.230164,0.624265
10,0.297909,0.657048
10,0.36563,0.687868
10,0.433374,0.716733
10,0.501095,0.743606
10,0.56884,0.767876
10,0.636585,0.790164
10,0.70433,0.80984
10,0.772075,0.827542
10,0.83982,0.84329
10,0.907541,0.857704
10,0.975286,0.870173
10,1.04303,0.880659
10,1.11078,0.890488
10,1.1785,0.898352
10,1.24447,0.905569
10,1.31222,0.912127
10,1.37994,0.917389
10,1.44769,0.921974
10,1.51541,0.925902
10,1.6509,0.932451
10,1.71862,0.935082
10,1.92183,0.940983
10,1.98957,0.942289
11,-2,0.0537743
11,-1.93397,0.0550804
11,-1.73076,0.0609814
11,-1.66302,0.0636122
11,-1.52755,0.0701615
11,-1.45981,0.0740984
11,-1.39209,0.0786837
11,-1.2566,0.0904856
11,-1.18888,0.0977017
11,-1.12113,0.106224
11,-1.05339,0.115413
11,-0.98564,0.126557
11,-0.919662,0.139007
11,-0.851917,0.152791
11,-0.784171,0.169169
11,-0.716451,0.186881
11,-0.648706,0.207214
11,-0.580961,0.229521
11,-0.513216,0.25443
11,-0.445495,0.281322
11,-0.37775,0.310169
11,-0.310005,0.341646
11,-0.24226,0.374429
11,-0.17454,0.409176
11,-0.106795,0.445257
11,0.0964158,0.555419
11,0.162419,0.591481
11,0.230164,0.626238
11,0.297909,0.659021
11,0.36563,0.690498
11,0.433374,0.719354
11,0.501095,0.746237
11,0.56884,0.771155
11,0.636585,0.793453
11,0.70433,0.813777
11,0.772075,0.831479
11,0.83982,0.847875
11,0.907541,0.861641
11,0.975286,0.87411
11,1.04303,0.885244
11,1.11078,0.894424
11,1.1785,0.902947
11,1.24447,0.910154
11,1.37994,0.921974
11,1.44769,0.92655
11,1.51541,0.930487
11,1.6509,0.937046
11,1.71862,0.939676
11,1.92183,0.945568
11,1.98957,0.946883
12,-2,0.0498375
12,-1.93397,0.0518014
12,-1.86625,0.0531074
12,-1.73076,0.0570446
12,-1.66302,0.0596754
12,-1.52755,0.0662247
12,-1.45981,0.0701615
12,-1.32434,0.080657
12,-1.2566,0.0865487
12,-1.12113,0.102287
12,-1.05339,0.112125
12,-0.98564,0.12263
12,-0.919662,0.135089
12,-0.851917,0.149503
