# Fig. 2A - total phosphorylation (Eq. 2) vs log10([E]/[F]), N = 1..20 sites
# reaction-limited regime, without enzyme refractory state
# Dushek O, van der Merwe PA, Shahrezaei V (2011) Biophysical Journal 100:1189-1197. doi:10.1016/j.bpj.2011.01.060
# Digitized by digitize_dushek2011.py from the vector paths of page 4.
# Series identity is drawing order, cross-checked against the MATLAB colour cycle and against curve nesting; the axes calibration is validated on the exact 0.5 crossing at log10([E]/[F]) = 0.
n_sites,log10_E_over_F,total_phosphorylation
11,0.297909,0.651814
11,0.36563,0.681967
11,0.433374,0.710165
11,0.501095,0.736399
11,0.56884,0.76065
11,0.636585,0.782957
11,0.70433,0.802623
11,0.772075,0.820983
11,0.83982,0.836722
11,0.907541,0.851145
11,0.975286,0.863605
11,1.04303,0.874758
11,1.11078,0.884586
11,1.1785,0.893118
11,1.24447,0.900983
11,1.37994,0.912784
11,1.51541,0.921964
11,1.6509,0.928532
11,1.78636,0.933766
11,1.92183,0.937703
11,1.98957,0.939018
12,-2,0.0577112
12,-1.93397,0.0596843
12,-1.86625,0.0609812
12,-1.79851,0.063612
12,-1.73076,0.0655759
12,-1.66302,0.0681975
12,-1.5953,0.0714766
12,-1.45981,0.0793506
12,-1.39209,0.0845845
12,-1.32434,0.0898369
12,-1.2566,0.0963954
12,-1.18888,0.104269
12,-1.12113,0.112792
12,-1.05339,0.12263
12,-0.98564,0.133773
12,-0.919662,0.146891
12,-0.851917,0.161314
12,-0.784171,0.177052
12,-0.716451,0.195413
12,-0.648706,0.215737
12,-0.580961,0.238034
12,-0.513216,0.262304
12,-0.445495,0.28852
12,-0.37775,0.317385
12,-0.310005,0.347546
12,-0.24226,0.379672
12,-0.17454,0.413123
12,-0.0390744,0.482626
12,0.0286711,0.51804
12,0.0964158,0.552788
12,0.162419,0.587544
12,0.230164,0.620985
12,0.297909,0.65312
12,0.36563,0.683282
12,0.433374,0.712138
12,0.501095,0.738363
12,0.56884,0.762624
12,0.636585,0.784921
12,0.70433,0.805245
12,0.772075,0.823605
12,0.83982,0.839344
12,0.907541,0.853776
12,0.975286,0.866884
12,1.04303,0.878037
12,1.11078,0.887875
12,1.1785,0.896397
12,1.24447,0.904262
12,1.31222,0.910821
12,1.44769,0.921316
12,1.58315,0.929181
12,1.6509,0.93246
12,1.71862,0.935091
12,1.78636,0.937055
12,1.85411,0.939676
12,1.92183,0.940982
12,1.98957,0.942956
13,-2,0.0550804
13,-1.93397,0.0563958
13,-1.73076,0.0622967
13,-1.52755,0.0721345
13,-1.39209,0.0813145
13,-1.32434,0.0872153
13,-1.2566,0.0937739
13,-1.18888,0.10099
13,-1.12113,0.110161
13,-1.05339,0.119999
13,-0.98564,0.131152
13,-0.919662,0.144269
13,-0.851917,0.158692
13,-0.784171,0.175089
13,-0.716451,0.193449
13,-0.648706,0.213773
13,-0.580961,0.23607
13,-0.513216,0.260331
13,-0.445495,0.287214
13,-0.37775,0.316069
13,-0.310005,0.346222
13,-0.24226,0.379024
13,-0.17454,0.412465
13,-0.106795,0.447221
13,-0.0390744,0.482626
13,0.0964158,0.553445
13,0.162419,0.588202
13,0.230164,0.621643
13,0.297909,0.654426
13,0.36563,0.684598
13,0.433374,0.713444
13,0.501095,0.740336
13,0.56884,0.764588
13,0.636585,0.786894
13,0.70433,0.807218
13,0.772075,0.825578
13,0.83982,0.841965
13,0.907541,0.856398
13,0.975286,0.869506
13,1.04303,0.880659
13,1.11078,0.890497
13,1.1785,0.899677
13,1.24447,0.906884
13,1.31222,0.913442
13,1.37994,0.919343
13,1.51541,0.928523
13,1.71862,0.938361
13,1.92183,0.944262
13,1.98957,0.945577
14,-2,0.0524587
14,-1.93397,0.0537741
14,-1.79851,0.0577111
14,-1.66302,0.0629541
14,-1.52755,0.0695127
14,-1.39209,0.0786928
14,-1.32434,0.0845844
14,-1.2566,0.0911522
14,-1.18888,0.099026
14,-1.12113,0.107549
14,-1.05339,0.117386
14,-0.98564,0.129179
14,-0.919662,0.141638
