# Fig. 2B - total phosphorylation (Eq. 2) vs log10([E]/[F]), N = 1..20 sites
# diffusion-limited regime, without enzyme refractory state
# Dushek O, van der Merwe PA, Shahrezaei V (2011) Biophysical Journal 100:1189-1197. doi:10.1016/j.bpj.2011.01.060
# Digitized by digitize_dushek2011.py from the vector paths of page 4.
# Series identity is drawing order, cross-checked against the MATLAB colour cycle and against curve nesting; the axes calibration is validated on the exact 0.5 crossing at log10([E]/[F]) = 0.
n_sites,log10_E_over_F,total_phosphorylation
15,-1.52755,0.47541
15,-1.45981,0.476067
15,-1.39209,0.476067
15,-1.2566,0.477374
15,-1.18885,0.477374
15,-0.985641,0.479347
15,-0.919662,0.480004
15,-0.851918,0.481311
15,-0.784172,0.481968
15,-0.716428,0.483274
15,-0.648707,0.483932
15,-0.513217,0.486563
15,-0.445496,0.488527
15,-0.377751,0.489833
15,-0.242261,0.49377
15,-0.17454,0.495085
15,-0.0390502,0.499013
15,0.0286945,0.501644
15,0.0964152,0.503608
15,0.162442,0.505572
15,0.230188,0.506887
15,0.365653,0.510824
15,0.433374,0.51213
15,0.501119,0.514103
15,0.636584,0.516725
15,0.704329,0.517382
15,0.772074,0.518689
15,0.83977,0.519346
15,0.907516,0.520662
15,1.17847,0.523283
15,1.24445,0.523283
15,1.37994,0.524589
15,1.44768,0.524589
15,1.5154,0.525247
15,1.58315,0.525247
15,1.6509,0.525905
15,1.71864,0.525905
15,1.78636,0.526553
15,1.85411,0.526553
15,1.92185,0.52722
15,1.9896,0.52722
16,-2,0.473446
16,-1.934,0.473446
16,-1.86625,0.474104
16,-1.79851,0.474104
16,-1.73076,0.474761
16,-1.66304,0.474761
16,-1.5953,0.47541
16,-1.52755,0.47541
16,-1.45981,0.476067
16,-1.39209,0.476067
16,-1.32434,0.476725
16,-1.2566,0.476725
16,-0.985641,0.479347
16,-0.919662,0.480004
16,-0.851918,0.480662
16,-0.784172,0.481968
16,-0.716428,0.482626
16,-0.513217,0.486563
16,-0.445496,0.488527
16,-0.377751,0.489833
16,-0.242261,0.49377
16,-0.17454,0.495085
16,-0.0390502,0.499013
16,0.0286945,0.501644
16,0.0964152,0.503608
16,0.162442,0.505572
16,0.230188,0.506887
16,0.365653,0.510824
16,0.433374,0.51213
16,0.501119,0.514103
16,0.704329,0.518031
16,0.772074,0.518689
16,0.83977,0.520004
16,1.17847,0.523283
16,1.24445,0.523941
16,1.31219,0.523941
16,1.37994,0.524589
16,1.44768,0.524589
16,1.5154,0.525247
16,1.58315,0.525247
16,1.6509,0.525905
16,1.71864,0.525905
16,1.78636,0.526553
16,1.85411,0.526553
16,1.92185,0.52722
16,1.9896,0.52722
17,-2,0.473446
17,-1.934,0.473446
17,-1.86625,0.474104
17,-1.79851,0.474104
17,-1.73076,0.474761
17,-1.5953,0.474761
17,-1.52755,0.47541
17,-1.45981,0.47541
17,-1.32434,0.476725
17,-1.2566,0.476725
17,-0.985641,0.479347
17,-0.919662,0.480004
17,-0.851918,0.480662
17,-0.784172,0.481968
17,-0.716428,0.482626
17,-0.445496,0.487869
17,-0.310007,0.491806
17,-0.242261,0.493112
17,-0.0390502,0.499013
17,0.0286945,0.501644
17,0.0964152,0.503608
17,0.162442,0.505572
17,0.230188,0.507545
17,0.297884,0.508851
17,0.433374,0.512788
17,0.704329,0.518031
17,0.772074,0.518689
17,0.83977,0.520004
17,1.17847,0.523283
17,1.24445,0.523941
17,1.31219,0.523941
17,1.44768,0.525247
17,1.5154,0.525247
17,1.58315,0.525905
17,1.71864,0.525905
17,1.78636,0.526553
17,1.85411,0.526553
17,1.92185,0.52722
17,1.9896,0.52722
18,-2,0.473446
18,-1.934,0.473446
18,-1.86625,0.474104
18,-1.73076,0.474104
18,-1.66304,0.474761
18,-1.5953,0.474761
18,-1.52755,0.47541
18,-1.45981,0.47541
18,-1.39209,0.476067
18,-1.32434,0.476067
18,-1.12113,0.478041
18,-1.05339,0.478041
18,-0.985641,0.478689
18,-0.919662,0.480004
18,-0.784172,0.481311
18,-0.445496,0.487869
18,-0.310007,0.491806
18,-0.242261,0.493112
18,-0.0390502,0.499013
18,0.0286945,0.501644
18,0.0964152,0.503608
18,0.162442,0.505572
18,0.230188,0.507545
18,0.297884,0.508851
18,0.433374,0.512788
18,0.772074,0.519346
18,0.97526,0.52131
18,1.043,0.522626
18,1.11073,0.522626
18,1.17847,0.523283
18,1.24445,0.523941
18,1.31219,0.524589
18,1.37994,0.524589
18,1.44768,0.525247
18,1.5154,0.525247
18,1.58315,0.525905
18,1.6509,0.525905
18,1.71864,0.526553
18,1.85411,0.526553
18,1.92185,0.52722
18,1.9896,0.52722
19,-2,0.472788
19,-1.934,0.473446
19,-1.86625,0.473446
19,-1.79851,0.474104
19,-1.73076,0.474104
19,-1.66304,0.474752
19,-1.5953,0.474752
19,-1.52755,0.47541
19,-1.45981,0.47541
19,-1.39209,0.476068
19,-1.32434,0.476068
19,-1.18885,0.477374
19,-1.12113,0.477374
19,-0.919662,0.479347
19,-0.851918,0.480662
19,-0.784172,0.481311
19,-0.445496,0.487869
19,-0.377751,0.489833
19,-0.310007,0.491148
19,-0.0390502,0.499013
19,0.0286945,0.501644
19,0.0964152,0.503608
19,0.162442,0.505572
19,0.297884,0.509509
19,0.365653,0.510824
19,0.433374,0.512788
19,0.772074,0.519346
19,0.83977,0.520004
19,0.907516,0.52131
19,1.11073,0.523283
19,1.17847,0.523283
19,1.24445,0.523932
19,1.31219,0.52459
19,1.37994,0.52459
19,1.44768,0.525247
19,1.5154,0.525247
19,1.58315,0.525905
19,1.6509,0.525905
19,1.71864,0.526553
19,1.78636,0.526553
19,1.85411,0.527211
19,1.92185,0.527211
19,1.9896,0.527869
20,-2,0.472788
20,-1.934,0.473446
20,-1.86625,0.473446
20,-1.79851,0.474104
20,-1.73076,0.474104
20,-1.66304,0.474752
20,-1.52755,0.474752
20,-1.45981,0.47541
20,-1.39209,0.47541
20,-1.2566,0.476725
20,-1.18885,0.476725
20,-0.985641,0.478689
20,-0.919662,0.479347
20,-0.851918,0.480662
20,-0.784172,0.481311
20,-0.445496,0.487869
20,-0.377751,0.489833
20,-0.310007,0.491148
20,-0.0390502,0.499013
20,0.0286945,0.501644
20,0.0964152,0.503608
20,0.162442,0.505572
20,0.297884,0.509509
20,0.365653,0.510824
20,0.433374,0.512788
20,0.772074,0.519346
20,0.83977,0.520004
20,0.907516,0.52131
20,1.17847,0.523932
20,1.24445,0.523932
20,1.37994,0.525247
20,1.44768,0.525247
20,1.5154,0.525905
20,1.58315,0.525905
20,1.6509,0.526553
20,1.78636,0.526553
20,1.85411,0.527211
20,1.92185,0.527211
20,1.9896,0.527869
