# Source: Samoilov et al. (2005) PNAS 102:2310-2315, Fig. 3A -- one exact
# Gillespie trajectory of Expressions 7 and 8 (black = X, green = X*).
# Method: article PDF page 3 rendered at 600 dpi with pdftoppm and cropped to
# the Fig. 3A panel (-x 2820 -y 380 -W 1800 -H 1520). Trace ink = pixels with
# mean RGB < 165, split into the X band (1150 < value < 2050) and the X* band
# (-60 < value < 700); the two traces are separated by >1000 molecules so the
# split is unambiguous. Each image column spans 0.00746 time units; the column
# min/mean/max of the ink is reported as lo/mid/hi. 'mid' is the ink centroid
# and estimates the local time-average of the plotted trajectory; lo/hi give
# the local excursion envelope (line width inflates it by about +-8 molecules).
# Axis calibration from tick-mark centers (not the frame): rows
# 148.5/378.5/604.5/836.5/1061.5/1287.5 -> 2500/2000/1500/1000/500/0 molecules;
# columns 194.5..1534.5 -> t = 0..10. Max tick residual 6.7 molecules, 0.0000 time units.
# The t=0 initial-condition spike is excluded (t >= 0.05).
t,X_lo,X_mid,X_hi,Xstar_lo,Xstar_mid,Xstar_hi
0.981343,1569.233,1664.674,1760.115,167.239,262.680,358.121
0.988806,1569.233,1664.674,1760.115,167.239,262.680,358.121
0.996269,1569.233,1664.674,1760.115,167.239,262.680,358.121
1.003731,1700.876,1761.212,1821.549,114.582,170.530,226.478
1.011194,1700.876,1761.212,1821.549,114.582,170.530,226.478
1.018657,1700.876,1761.212,1821.549,114.582,170.530,226.478
1.026119,1700.876,1761.212,1821.549,114.582,170.530,226.478
1.033582,1744.757,1787.541,1830.325,105.806,148.590,191.374
1.041045,1744.757,1787.541,1830.325,105.806,148.590,191.374
1.048507,1744.757,1787.541,1830.325,105.806,148.590,191.374
1.055970,1744.757,1787.541,1830.325,105.806,148.590,191.374
1.063433,1735.981,1778.765,1821.549,114.582,152.978,191.374
1.070896,1735.981,1778.765,1821.549,114.582,152.978,191.374
1.078358,1735.981,1778.765,1821.549,114.582,152.978,191.374
1.085821,1735.981,1778.765,1821.549,114.582,152.978,191.374
1.093284,1727.205,1774.377,1821.549,105.806,148.590,191.374
1.100746,1727.205,1774.377,1821.549,105.806,148.590,191.374
1.108209,1727.205,1774.377,1821.549,105.806,148.590,191.374
1.115672,1727.205,1774.377,1821.549,105.806,148.590,191.374
1.123134,1753.533,1800.705,1847.877,97.030,139.814,182.598
1.130597,1753.533,1800.705,1847.877,97.030,139.814,182.598
1.138060,1753.533,1800.705,1847.877,97.030,139.814,182.598
1.145522,1753.533,1800.705,1847.877,97.030,139.814,182.598
1.152985,1788.638,1840.198,1891.758,53.149,100.321,147.493
1.160448,1788.638,1840.198,1891.758,53.149,100.321,147.493
1.167910,1788.638,1840.198,1891.758,53.149,100.321,147.493
1.175373,1788.638,1840.198,1891.758,53.149,100.321,147.493
1.182836,1841.295,1879.691,1918.086,35.597,73.992,112.388
1.190299,1841.295,1879.691,1918.086,35.597,73.992,112.388
1.197761,1841.295,1879.691,1918.086,35.597,73.992,112.388
1.205224,1841.295,1879.691,1918.086,35.597,73.992,112.388
1.212687,1850.071,1888.467,1926.863,35.597,73.992,112.388
1.220149,1850.071,1888.467,1926.863,35.597,73.992,112.388
1.227612,1850.071,1888.467,1926.863,35.597,73.992,112.388
1.235075,1850.071,1888.467,1926.863,35.597,73.992,112.388
1.242537,1779.862,1831.422,1882.982,53.149,100.321,147.493
1.250000,1779.862,1831.422,1882.982,53.149,100.321,147.493
1.257463,1779.862,1831.422,1882.982,53.149,100.321,147.493
1.264925,1779.862,1831.422,1882.982,53.149,100.321,147.493
1.272388,1762.309,1805.093,1847.877,79.477,126.649,173.821
1.279851,1762.309,1805.093,1847.877,79.477,126.649,173.821
1.287313,1762.309,1805.093,1847.877,79.477,126.649,173.821
1.294776,1762.309,1805.093,1847.877,79.477,126.649,173.821
1.302239,1779.862,1822.646,1865.429,79.477,117.873,156.269
1.309701,1779.862,1822.646,1865.429,79.477,117.873,156.269
1.317164,1779.862,1822.646,1865.429,79.477,117.873,156.269
1.324627,1779.862,1822.646,1865.429,79.477,117.873,156.269
1.332090,1779.862,1813.242,1865.429,61.925,109.097,156.269
1.339552,1779.862,1813.242,1865.429,61.925,109.097,156.269
1.347015,1779.862,1813.242,1865.429,61.925,109.097,156.269
1.354478,1779.862,1813.242,1865.429,61.925,109.097,156.269
1.361940,1779.862,1840.198,1900.534,53.149,104.709,156.269
1.369403,1779.862,1840.198,1900.534,53.149,104.709,156.269
1.376866,1779.862,1840.198,1900.534,53.149,104.709,156.269
1.384328,1779.862,1840.198,1900.534,53.149,104.709,156.269
1.391791,1788.638,1848.974,1909.310,35.597,91.545,147.493
1.399254,1788.638,1848.974,1909.310,35.597,91.545,147.493
1.406716,1788.638,1848.974,1909.310,35.597,91.545,147.493
1.414179,1788.638,1848.974,1909.310,35.597,91.545,147.493
1.421642,1797.414,1844.586,1891.758,53.149,95.933,138.717
1.429104,1797.414,1844.586,1891.758,53.149,95.933,138.717
1.436567,1797.414,1844.586,1891.758,53.149,95.933,138.717
1.444030,1797.414,1844.586,1891.758,53.149,95.933,138.717
1.451493,1841.295,1870.915,1900.534,53.149,82.769,112.388
1.458955,1841.295,1870.915,1900.534,53.149,82.769,112.388
1.466418,1841.295,1870.915,1900.534,53.149,82.769,112.388
1.473881,1841.295,1870.915,1900.534,53.149,82.769,112.388
1.481343,1788.638,1822.646,1856.653,79.477,113.485,147.493
1.488806,1788.638,1822.646,1856.653,79.477,113.485,147.493
1.496269,1788.638,1822.646,1856.653,79.477,113.485,147.493
1.503731,1788.638,1822.646,1856.653,79.477,113.485,147.493
1.511194,1788.638,1822.646,1856.653,88.254,117.873,147.493
1.518657,1788.638,1822.646,1856.653,88.254,117.873,147.493
1.526119,1788.638,1822.646,1856.653,88.254,117.873,147.493
1.533582,1788.638,1822.646,1856.653,88.254,117.873,147.493
1.541045,1762.309,1805.093,1847.877,88.254,131.037,173.821
1.548507,1762.309,1805.093,1847.877,88.254,131.037,173.821
1.555970,1762.309,1805.093,1847.877,88.254,131.037,173.821
1.563433,1762.309,1805.093,1847.877,88.254,131.037,173.821
1.570896,1648.219,1743.660,1839.101,97.030,188.083,279.135
1.578358,1648.219,1743.660,1839.101,97.030,188.083,279.135
1.585821,1648.219,1743.660,1839.101,97.030,188.083,279.135
1.593284,1648.219,1743.660,1839.101,97.030,188.083,279.135
1.600746,1578.010,1631.032,1698.682,228.672,293.397,358.121
1.608209,1578.010,1631.032,1698.682,228.672,293.397,358.121
1.615672,1578.010,1631.032,1698.682,228.672,293.397,358.121
1.623134,1578.010,1631.032,1698.682,228.672,293.397,358.121
1.630597,1586.786,1620.793,1654.801,272.553,310.949,349.345
1.638060,1586.786,1620.793,1654.801,272.553,310.949,349.345
1.645522,1586.786,1620.793,1654.801,272.553,310.949,349.345
1.652985,1586.786,1620.793,1654.801,272.553,310.949,349.345
1.660448,1560.457,1612.017,1663.577,263.777,315.337,366.897
1.667910,1560.457,1612.017,1663.577,263.777,315.337,366.897
1.675373,1560.457,1612.017,1663.577,263.777,315.337,366.897
1.682836,1560.457,1612.017,1663.577,263.777,315.337,366.897
1.690299,1560.457,1633.958,1707.458,219.896,302.173,384.450
1.697761,1560.457,1633.958,1707.458,219.896,302.173,384.450
1.705224,1560.457,1633.958,1707.458,219.896,302.173,384.450
1.712687,1560.457,1633.958,1707.458,219.896,302.173,384.450
1.720149,1542.905,1620.793,1698.682,219.896,302.173,384.450
1.727612,1542.905,1620.793,1698.682,219.896,302.173,384.450
1.735075,1542.905,1620.793,1698.682,219.896,302.173,384.450
1.742537,1542.905,1620.793,1698.682,219.896,302.173,384.450
1.750000,1534.129,1616.405,1698.682,237.449,310.949,384.450
1.757463,1534.129,1616.405,1698.682,237.449,310.949,384.450
1.764925,1534.129,1616.405,1698.682,237.449,310.949,384.450
1.772388,1534.129,1616.405,1698.682,237.449,310.949,384.450
1.779851,1586.786,1625.182,1663.577,263.777,310.949,358.121
1.787313,1586.786,1625.182,1663.577,263.777,310.949,358.121
1.794776,1586.786,1625.182,1663.577,263.777,310.949,358.121
1.802239,1586.786,1625.182,1663.577,263.777,310.949,358.121
1.809701,1569.233,1620.793,1672.354,263.777,310.949,358.121
1.817164,1569.233,1620.793,1672.354,263.777,310.949,358.121
1.824627,1569.233,1620.793,1672.354,263.777,310.949,358.121
1.832090,1569.233,1620.793,1672.354,263.777,310.949,358.121
1.839552,1542.905,1607.629,1672.354,263.777,319.725,375.673
1.847015,1542.905,1607.629,1672.354,263.777,319.725,375.673
1.854478,1542.905,1607.629,1672.354,263.777,319.725,375.673
1.861940,1542.905,1607.629,1672.354,263.777,319.725,375.673
1.869403,1560.457,1632.608,1689.906,237.449,306.561,375.673
1.876866,1560.457,1632.608,1689.906,237.449,306.561,375.673
1.884328,1560.457,1632.608,1689.906,237.449,306.561,375.673
1.891791,1560.457,1632.608,1689.906,237.449,306.561,375.673
1.899254,1542.905,1616.405,1689.906,237.449,306.561,375.673
1.906716,1542.905,1616.405,1689.906,237.449,306.561,375.673
1.914179,1542.905,1616.405,1689.906,237.449,306.561,375.673
1.921642,1542.905,1616.405,1689.906,237.449,306.561,375.673
1.929104,1534.129,1607.629,1681.130,246.225,310.949,375.673
1.936567,1534.129,1607.629,1681.130,246.225,310.949,375.673
1.944030,1534.129,1607.629,1681.130,246.225,310.949,375.673
1.951493,1534.129,1607.629,1681.130,246.225,310.949,375.673
1.958955,1621.890,1660.286,1698.682,228.672,271.456,314.240
1.966418,1621.890,1660.286,1698.682,228.672,271.456,314.240
1.973881,1621.890,1660.286,1698.682,228.672,271.456,314.240
1.981343,1621.890,1660.286,1698.682,228.672,271.456,314.240
1.988806,1560.457,1607.629,1654.801,272.553,332.890,393.226
1.996269,1560.457,1607.629,1654.801,272.553,332.890,393.226
2.003731,1560.457,1607.629,1654.801,272.553,332.890,393.226
2.011194,1560.457,1607.629,1654.801,272.553,332.890,393.226
2.018657,1525.353,1590.077,1654.801,263.777,332.890,402.002
2.026119,1525.353,1590.077,1654.801,263.777,332.890,402.002
2.033582,1525.353,1590.077,1654.801,263.777,332.890,402.002
2.041045,1525.353,1590.077,1654.801,263.777,332.890,402.002
2.048507,1516.576,1594.465,1672.354,246.225,324.113,402.002
2.055970,1516.576,1594.465,1672.354,246.225,324.113,402.002
2.063433,1516.576,1594.465,1672.354,246.225,324.113,402.002
2.070896,1516.576,1594.465,1672.354,246.225,324.113,402.002
2.078358,1630.667,1691.003,1751.339,176.015,245.128,314.240
2.085821,1630.667,1691.003,1751.339,176.015,245.128,314.240
2.093284,1630.667,1691.003,1751.339,176.015,245.128,314.240
2.100746,1630.667,1691.003,1751.339,176.015,245.128,314.240
2.108209,1551.681,1629.570,1707.458,219.896,297.785,375.673
2.115672,1551.681,1629.570,1707.458,219.896,297.785,375.673
2.123134,1551.681,1629.570,1707.458,219.896,297.785,375.673
2.130597,1551.681,1629.570,1707.458,219.896,297.785,375.673
2.138060,1604.338,1651.510,1698.682,219.896,275.844,331.793
2.145522,1604.338,1651.510,1698.682,219.896,275.844,331.793
2.152985,1604.338,1651.510,1698.682,219.896,275.844,331.793
2.160448,1604.338,1651.510,1698.682,219.896,275.844,331.793
2.167910,1560.457,1625.182,1689.906,228.672,297.785,366.897
2.175373,1560.457,1625.182,1689.906,228.672,297.785,366.897
2.182836,1560.457,1625.182,1689.906,228.672,297.785,366.897
2.190299,1560.457,1625.182,1689.906,228.672,297.785,366.897
2.197761,1569.233,1651.510,1707.458,219.896,293.397,366.897
2.205224,1569.233,1651.510,1707.458,219.896,293.397,366.897
2.212687,1569.233,1651.510,1707.458,219.896,293.397,366.897
2.220149,1569.233,1651.510,1707.458,219.896,293.397,366.897
2.227612,1578.010,1647.122,1716.234,219.896,289.009,358.121
2.235075,1578.010,1647.122,1716.234,219.896,289.009,358.121
2.242537,1578.010,1647.122,1716.234,219.896,289.009,358.121
2.250000,1578.010,1647.122,1716.234,219.896,289.009,358.121
2.257463,1542.905,1607.629,1672.354,246.225,315.337,384.450
2.264925,1542.905,1607.629,1672.354,246.225,315.337,384.450
2.272388,1542.905,1607.629,1672.354,246.225,315.337,384.450
