condition,time,Obs_pSTAT3,Obs_pSTAT1
il10_1,51,0.06778,0.00052811
il10_1,52,0.067318,0.00052014
il10_1,53,0.066848,0.0005121
il10_1,54,0.06637,0.00050403
il10_1,55,0.065888,0.00049595
il10_1,56,0.065402,0.0004879
il10_1,57,0.064913,0.00047989
il10_1,58,0.064422,0.00047196
il10_1,59,0.063932,0.00046411
il10_1,60,0.063441,0.00045637
il10_1,61,0.062953,0.00044875
il10_1,62,0.062466,0.00044127
il10_1,63,0.061983,0.00043393
il10_1,64,0.061503,0.00042674
il10_1,65,0.061027,0.00041971
il10_1,66,0.060556,0.00041284
il10_1,67,0.060089,0.00040615
il10_1,68,0.059628,0.00039962
il10_1,69,0.059173,0.00039327
il10_1,70,0.058723,0.00038709
il10_1,71,0.05828,0.00038108
il10_1,72,0.057843,0.00037524
il10_1,73,0.057413,0.00036957
il10_1,74,0.056988,0.00036407
il10_1,75,0.056571,0.00035873
il10_1,76,0.05616,0.00035356
il10_1,77,0.055755,0.00034853
il10_1,78,0.055358,0.00034367
il10_1,79,0.054966,0.00033894
il10_1,80,0.054582,0.00033437
il10_1,81,0.054203,0.00032993
il10_1,82,0.053832,0.00032563
il10_1,83,0.053466,0.00032146
il10_1,84,0.053107,0.00031741
il10_1,85,0.052753,0.00031349
il10_1,86,0.052406,0.00030968
il10_1,87,0.052065,0.00030599
il10_1,88,0.051729,0.0003024
il10_1,89,0.051399,0.00029892
il10_1,90,0.051074,0.00029554
il10_10,0,0.0,0.0
il10_10,1,0.0050073,2.75e-05
il10_10,2,0.017148,0.00010037
il10_10,3,0.032369,0.0002061
il10_10,4,0.047727,0.00033457
il10_10,5,0.061528,0.00047778
il10_10,6,0.073054,0.00062936
il10_10,7,0.082202,0.00078423
il10_10,8,0.089197,0.00093833
il10_10,9,0.094396,0.0010884
il10_10,10,0.098174,0.0012318
il10_10,11,0.10087,0.0013667
il10_10,12,0.10275,0.0014914
il10_10,13,0.10403,0.001605
il10_10,14,0.10488,0.0017066
il10_10,15,0.1054,0.0017959
il10_10,16,0.10568,0.0018728
il10_10,17,0.10578,0.0019373
il10_10,18,0.10574,0.0019896
il10_10,19,0.10558,0.0020301
il10_10,20,0.10533,0.0020593
il10_10,21,0.10499,0.0020777
il10_10,22,0.10458,0.0020858
il10_10,23,0.10409,0.0020845
il10_10,24,0.10354,0.0020742
il10_10,25,0.10292,0.0020558
il10_10,26,0.10224,0.0020298
il10_10,27,0.10148,0.0019971
il10_10,28,0.10067,0.0019582
il10_10,29,0.09978,0.0019138
il10_10,30,0.098825,0.0018647
il10_10,31,0.097802,0.0018114
il10_10,32,0.096711,0.0017547
il10_10,33,0.095553,0.0016951
il10_10,34,0.094329,0.0016333
il10_10,35,0.093043,0.0015699
il10_10,36,0.091698,0.0015055
il10_10,37,0.0903,0.0014405
il10_10,38,0.088856,0.0013756
il10_10,39,0.087373,0.0013113
il10_10,40,0.08586,0.0012478
il10_10,41,0.084324,0.0011858
il10_10,42,0.082775,0.0011254
il10_10,43,0.081221,0.0010671
il10_10,44,0.079669,0.0010109
il10_10,45,0.078128,0.00095703
il10_10,46,0.076603,0.00090568
il10_10,47,0.0751,0.00085688
il10_10,48,0.073623,0.00081066
il10_10,49,0.072177,0.00076702
il10_10,50,0.070765,0.00072593
il10_10,51,0.069388,0.00068733
il10_10,52,0.068049,0.00065116
il10_10,53,0.066749,0.00061732
il10_10,54,0.065489,0.00058571
il10_10,55,0.064269,0.00055624
il10_10,56,0.063089,0.0005288
il10_10,57,0.061949,0.00050327
il10_10,58,0.060848,0.00047954
il10_10,59,0.059786,0.00045751
il10_10,60,0.058763,0.00043706
