# Fig. 3C (model panel), MCF7 cells, type_I_half_RAFi,
# from Imoto H, Rauch N, Nagasato AI, Okada M, Kolch W, Rukhlenko OS,
# Kholodenko BN (2026), npj Syst Biol Appl, doi:10.1038/s41540-026-00710-6.
# 
# Source: embedded bitmap of page 9 (pdfimages, 980x648 px, ~146 ppi),
# composited over white through its soft mask.
# Calibration: least squares on the tick marks;
#   max residual x 0.0000 Kd, y 0.0029 normalized ppERK.
# Series separation: ink-direction classification against these legend
#   key colours, read from the panel itself:
#     KSR =   0 nM   RGB (206, 107, 110)
#     KSR =  15 nM   RGB (255, 187, 61)
#     KSR =  30 nM   RGB (255, 227, 76)
#     KSR =  50 nM   RGB (175, 222, 242)
#     KSR = 100 nM   RGB (101, 134, 187)
# 
# Ordinate is ppERK normalized to the no-drug steady state at the same
# KSR1 abundance (every curve starts at 1.0). Blank cells are columns
# where the series could not be separated from an overlapping one.
# Uncertainty ~0.02 in normalized ppERK; see digitize_imoto2026.py.
dose_over_Kd,ppERK_norm_KSR_0nM,ppERK_norm_KSR_15nM,ppERK_norm_KSR_30nM,ppERK_norm_KSR_50nM,ppERK_norm_KSR_100nM
35.4286,0.3339,0.2478,0.2208,,0.2029
35.7143,0.3331,0.2470,0.2208,,0.2029
36.0000,0.3323,0.2445,0.2208,,0.2029
36.2857,0.3314,0.2440,0.2208,,0.2029
36.5714,0.3306,0.2436,0.2208,,0.2029
36.8571,0.3280,0.2430,0.2208,,0.2029
37.1429,0.3262,0.2426,0.2208,,0.2029
37.4286,0.3255,0.2422,,,0.2029
37.7143,0.3247,0.2418,,,0.2029
38.0000,0.3239,0.2415,,,0.2009
38.2857,0.3230,0.2412,,,0.2007
38.5714,0.3221,0.2410,0.2119,,0.1940
38.8571,0.3211,0.2407,0.2119,,0.1940
39.1429,0.3191,0.2363,0.2119,,0.1940
39.4286,0.3171,0.2359,0.2119,,0.1940
39.7143,0.3164,0.2355,0.2119,,0.1940
40.0000,0.3155,0.2349,0.2119,,0.1940
40.2857,0.3146,0.2344,0.2119,,0.1940
40.5714,0.3136,0.2339,0.2119,,0.1940
40.8571,0.3128,0.2334,,,0.1940
41.1429,0.3120,0.2329,,,0.1940
41.4286,0.3102,0.2325,,,0.1940
41.7143,0.3079,0.2321,,,0.1940
42.0000,0.3070,0.2276,,,0.1920
42.2857,0.3062,0.2274,0.2029,,0.1918
42.5714,0.3053,0.2271,0.2029,,0.1851
42.8571,0.3044,0.2268,0.2029,,0.1851
43.1429,0.3035,0.2265,0.2029,,0.1851
43.4286,0.3012,0.2261,0.2029,,0.1851
43.7143,0.3012,0.2257,0.2029,,0.1851
44.0000,0.2987,0.2253,0.2029,,0.1851
44.2857,0.2978,0.2249,,,0.1851
44.5714,0.2968,0.2244,,,0.1851
44.8571,0.2960,0.2240,,,0.1851
45.1429,0.2951,0.2214,,,0.1851
45.4286,0.2943,0.2206,,,0.1851
45.7143,0.2923,0.2182,,,0.1851
46.0000,0.2904,0.2179,,,0.1832
46.2857,0.2895,0.2175,0.1940,,0.1830
46.5714,0.2884,0.2170,0.1940,,0.1761
46.8571,0.2875,0.2166,0.1940,,0.1761
47.1429,0.2867,0.2161,0.1940,,0.1761
47.4286,0.2859,0.2157,0.1940,,0.1761
47.7143,0.2852,0.2152,,,0.1761
48.0000,0.2834,0.2147,,,0.1761
48.2857,0.2810,0.2122,,,0.1761
48.5714,0.2801,0.2097,,,0.1761
48.8571,0.2792,0.2093,,,0.1761
49.1429,0.2783,0.2089,,,0.1761
49.4286,0.2776,0.2084,,,0.1761
49.7143,0.2769,0.2080,,,0.1761
50.0000,0.2744,0.2076,,,0.1761
