# Fig. 3E (model panel), MCF7 cells, cobimetinib,
# from Imoto H, Rauch N, Nagasato AI, Okada M, Kolch W, Rukhlenko OS,
# Kholodenko BN (2026), npj Syst Biol Appl, doi:10.1038/s41540-026-00710-6.
# 
# Source: embedded bitmap of page 9 (pdfimages, 980x648 px, ~146 ppi),
# composited over white through its soft mask.
# Calibration: least squares on the tick marks;
#   max residual x 0.0214 Kd, y 0.0039 normalized ppERK.
# Series separation: ink-direction classification against these legend
#   key colours, read from the panel itself:
#     KSR =   0 nM   RGB (206, 107, 110)
#     KSR =  15 nM   RGB (255, 187, 61)
#     KSR =  30 nM   RGB (255, 227, 76)
#     KSR =  50 nM   RGB (175, 222, 242)
#     KSR = 100 nM   RGB (101, 134, 187)
# 
# Ordinate is ppERK normalized to the no-drug steady state at the same
# KSR1 abundance (every curve starts at 1.0). Blank cells are columns
# where the series could not be separated from an overlapping one.
# Uncertainty ~0.02 in normalized ppERK; see digitize_imoto2026.py.
dose_over_Kd,ppERK_norm_KSR_0nM,ppERK_norm_KSR_15nM,ppERK_norm_KSR_30nM,ppERK_norm_KSR_50nM,ppERK_norm_KSR_100nM
7.7055,0.2642,0.3888,,0.4406,0.4218
7.7631,0.2635,0.3877,,0.4406,0.4200
7.8207,0.2628,0.3867,,0.4406,0.4184
7.8782,0.2621,0.3858,,,0.4158
7.9358,0.2615,0.3851,,0.4324,0.4125
7.9934,0.2609,0.3826,,0.4324,0.4107
8.0509,0.2605,0.3798,,0.4324,0.4075
8.1085,0.2584,0.3789,,0.4241,0.4050
8.1661,0.2566,0.3780,,0.4241,0.4033
8.2236,0.2559,0.3772,,0.4241,0.4017
8.2812,0.2553,0.3766,,0.4200,0.3992
8.3388,0.2545,0.3718,,0.4158,0.3956
8.3963,0.2539,0.3709,,0.4158,0.3940
8.4539,0.2533,0.3700,,,0.3909
8.5115,0.2528,0.3692,,0.4075,0.3881
8.5690,0.2524,0.3686,,0.4075,0.3866
8.6266,0.2520,0.3661,,,0.3852
8.6842,0.2483,0.3639,,,0.3826
8.7417,0.2476,0.3632,,0.3992,0.3788
8.7993,0.2469,0.3624,,0.3992,0.3776
8.8568,0.2463,0.3578,,,0.3765
8.9144,0.2458,0.3578,,,0.3744
8.9720,0.2452,0.3578,,0.3909,0.3744
9.0295,0.2447,0.3556,,0.3909,0.3686
9.0871,0.2443,0.3553,,,0.3661
9.1447,0.2439,0.3495,,,0.3661
9.2022,0.2399,0.3495,,0.3826,0.3661
9.2598,0.2393,0.3495,,0.3826,0.3661
9.3174,0.2386,0.3412,,,
9.3749,0.2381,0.3412,,0.3744,0.3578
9.4325,0.2376,0.3412,0.3909,0.3744,0.3578
9.4901,0.2371,,,0.3744,0.3578
9.5476,0.2366,,,,0.3495
9.6052,0.2362,,0.3826,0.3661,0.3495
9.6628,0.2358,,0.3826,0.3661,0.3495
9.7203,0.2335,,0.3826,0.3661,0.3432
9.7779,0.2309,,,,0.3412
9.8354,0.2304,,0.3744,,0.3371
9.8930,0.2298,,0.3744,,0.3358
9.9506,0.2294,,0.3744,0.3578,0.3308
