# Fig. 3D (model panel), PSN1 cells, type_I_half_RAFi,
# from Imoto H, Rauch N, Nagasato AI, Okada M, Kolch W, Rukhlenko OS,
# Kholodenko BN (2026), npj Syst Biol Appl, doi:10.1038/s41540-026-00710-6.
# 
# Source: embedded bitmap of page 9 (pdfimages, 980x648 px, ~146 ppi),
# composited over white through its soft mask.
# Calibration: least squares on the tick marks;
#   max residual x 0.0000 Kd, y 0.0027 normalized ppERK.
# Series separation: ink-direction classification against these legend
#   key colours, read from the panel itself:
#     KSR =   0 nM   RGB (204, 104, 108)
#     KSR =  15 nM   RGB (255, 201, 104)
#     KSR =  30 nM   RGB (255, 231, 105)
#     KSR =  50 nM   RGB (153, 213, 238)
#     KSR = 100 nM   RGB (170, 188, 218)
# 
# Ordinate is ppERK normalized to the no-drug steady state at the same
# KSR1 abundance (every curve starts at 1.0). Blank cells are columns
# where the series could not be separated from an overlapping one.
# Uncertainty ~0.02 in normalized ppERK; see digitize_imoto2026.py.
dose_over_Kd,ppERK_norm_KSR_0nM,ppERK_norm_KSR_15nM,ppERK_norm_KSR_30nM,ppERK_norm_KSR_50nM,ppERK_norm_KSR_100nM
33.1429,0.5085,0.4181,0.3695,0.3428,0.3233
33.4286,0.5076,0.4173,0.3690,0.3428,0.3204
33.7143,0.5066,0.4166,0.3686,0.3384,0.3172
34.0000,0.5056,0.4159,0.3682,0.3428,0.3168
34.2857,0.5046,0.4152,0.3626,0.3428,0.3164
34.5714,0.5014,0.4146,0.3623,0.3428,0.3160
34.8571,0.5014,0.4140,0.3621,0.3428,0.3154
35.1429,0.4987,0.4136,0.3617,0.3381,0.3150
35.4286,0.4979,0.4131,0.3613,0.3377,0.3144
35.7143,0.4969,0.4078,0.3609,0.3371,0.3139
36.0000,0.4960,0.4070,0.3605,0.3366,0.3134
36.2857,0.4950,0.4063,0.3601,0.3314,0.3129
36.5714,0.4940,0.4056,0.3596,0.3314,0.3125
36.8571,0.4928,0.4048,0.3590,0.3314,0.3120
37.1429,0.4900,0.4042,0.3585,0.3314,0.3117
37.4286,0.4900,0.4036,0.3580,0.3270,0.3062
37.7143,0.4872,0.4031,0.3547,0.3272,0.3058
38.0000,0.4863,0.4027,0.3539,0.3314,0.3054
38.2857,0.4854,0.4022,0.3508,0.3314,0.3050
38.5714,0.4843,0.3991,0.3505,0.3270,0.3044
38.8571,0.4833,0.3959,0.3501,0.3266,0.3039
39.1429,0.4822,0.3952,0.3496,0.3262,0.3034
39.4286,0.4813,0.3945,0.3492,0.3256,0.3028
39.7143,0.4787,0.3939,0.3487,0.3201,0.3022
40.0000,0.4787,0.3933,0.3482,0.3201,0.3017
40.2857,0.4756,0.3927,0.3477,0.3201,0.3012
40.5714,0.4747,0.3922,0.3471,0.3201,0.3008
40.8571,0.4737,0.3917,0.3465,0.3201,0.3005
41.1429,0.4727,0.3913,0.3459,0.3156,0.2975
41.4286,0.4717,0.3884,0.3424,0.3159,0.2949
41.7143,0.4705,0.3872,0.3395,0.3159,0.2944
42.0000,0.4674,0.3840,0.3392,0.3158,0.2939
42.2857,0.4674,0.3834,0.3388,0.3155,0.2934
