time_h,pERK_IF_source_model,pERK_fraction_source_model
0.62,0.5220149131213,0.2320190170779
0.63,0.5005587840576,0.2207296608227
0.64,0.4791943976133,0.2094885758616
0.65,0.4579414705533,0.1983061363669
0.66,0.4368229117875,0.18719439609
0.67,0.4158651448474,0.1761672580356
0.68,0.3950985286304,0.1652406958401
0.69,0.3745578448327,0.15443301024
0.7,0.3542829204001,0.1437651565798
0.71,0.3343194427195,0.1332611737337
0.72,0.314719984228,0.1229487232137
0.73,0.2955454010841,0.1128598250946
0.74,0.2768667414906,0.1030318620965
0.75,0.2587679934993,0.09350902537046
0.76,0.241350096632,0.08434442525236
0.77,0.2247368654573,0.07560320801211
0.78,0.2090840956174,0.06736734708036
0.79,0.1945927108652,0.05974256049313
0.8,0.181525650646,0.05286719646155
0.81,0.1702198844933,0.04691855486567
0.82,0.161060658289,0.04209933666766
0.83,0.1543543837053,0.0385707634243
0.84,0.1501021655675,0.03633341645039
0.85,0.1478946199441,0.03517189430825
0.86,0.1471030053053,0.03475537837254
0.87,0.1471461117369,0.03477805925133
0.88,0.1476019068049,0.03501788037128
0.89,0.148195033752,0.03532996002882
0.9,0.1487542895413,0.03562421803894
0.91,0.1491793456161,0.03584786553111
0.92,0.1494200329598,0.03597450557702
0.93,0.1494630160465,0.03599712155671
0.94,0.1493216052616,0.03592271686213
0.95,0.1490266889312,0.03576754369415
0.96,0.1486183481504,0.03555269112062
0.97,0.1481385106461,0.03530021983303
0.98,0.1476252563351,0.03503016595943
0.99,0.1471092186878,0.0347586476057
1.0,0.1466121185728,0.03449709342336
1.01,0.1461470697831,0.03425240336547
1.02,0.145720025754,0.03402770989134
1.03,0.1453317169935,0.03382339736501
1.04,0.1449795670768,0.03363811017489
1.05,0.1446593037896,0.03346960045282
1.06,0.1443661152825,0.03331533639631
1.07,0.1440953937583,0.03317289356686
1.08,0.1438431479712,0.03304017193074
1.09,0.1436061549206,0.03291547567399
1.1,0.1433819550667,0.03279751068532
1.11,0.1431687576082,0.03268533471662
1.12,0.1429653062326,0.03257828674666
1.13,0.1427707403735,0.03247591397978
1.14,0.1425844714241,0.03237790671467
1.15,0.1424060831926,0.03228404596792
1.16,0.142235257911,0.03219416454261
1.17,0.1420717261322,0.03210812066652
1.18,0.1419152363479,0.03202578200612
1.19,0.1417655385517,0.03194701701793
1.2,0.1416223762262,0.03187169073283
1.21,0.1414854876649,0.03179966545133
1.22,0.1413546072718,0.03173080142742
1.23,0.1412294732633,0.03166496092109
1.24,0.1411098281108,0.03160200843107
1.25,0.1409954219216,0.03154181247384
1.26,0.1408860151071,0.03148424698745
1.27,0.1407813798698,0.031429192114
1.28,0.1406813020678,0.03137653518055
1.29,0.1405855799754,0.03132617004715
1.3,0.1404940243108,0.03127799712125
1.31,0.1404064572018,0.03123192281372
1.32,0.1403227116096,0.03118785923528
1.33,0.1402426307514,0.03114572389327
1.34,0.1401660669472,0.03110543908423
1.35,0.1400928808701,0.03106693149998
1.36,0.1400229407551,0.03103013181109
1.37,0.1399561218562,0.03099497438112
1.38,0.1398923059359,0.03096139699835
1.39,0.1398313807266,0.03092934059193
1.4,0.1397732395175,0.030898749015
1.41,0.1397177806937,0.0308695688019
1.42,0.1396649074602,0.03084174902283
1.43,0.1396145275402,0.03081524112559
1.44,0.1395665530001,0.03078999884294
1.45,0.1395208998545,0.03076597798517
1.46,0.1394774878926,0.03074313634849
1.47,0.1394362402742,0.03072143350278
1.48,0.1393970836727,0.03070083086647
1.49,0.1393599479584,0.03068129154007
1.5,0.1393247657857,0.0306627800891
1.51,0.139291472529,0.03064526251009
1.52,0.139260006096,0.03062870613265
1.53,0.1392303073021,0.03061307981607
1.54,0.1392023197045,0.03059835386255
1.55,0.1391759889215,0.03058449965848
1.56,0.1391512616919,0.03057148918008
1.57,0.1391280866026,0.03055929537577
1.58,0.1391064154654,0.03054789289081
1.59,0.1390862020246,0.03053725738737
1.6,0.1390674010513,0.03052736506783
1.61,0.1390499690901,0.0305181930676
1.62,0.1390338645234,0.03050971948923
1.63,0.1390190470027,0.03050192310299
1.64,0.1390054774437,0.0304947833442
1.65,0.1389931182366,0.03048828042415
1.66,0.1389819331705,0.03048239529012
1.67,0.1389718872507,0.03047710952921
1.68,0.1389629465615,0.03047240529642
1.69,0.1389550782767,0.03046826531996
1.7,0.1389482507243,0.03046467293514
1.71,0.1389424332157,0.03046161199501
1.72,0.1389375962131,0.03045906695785
1.73,0.138933711072,0.03045702275213
1.74,0.1389307500527,0.03045546478231
1.75,0.1389286863116,0.03045437892432
1.76,0.1389274937054,0.03045375142271
1.77,0.1389271469676,0.03045356898315
1.78,0.1389276215335,0.0304538186807
1.79,0.1389288936326,0.03045448800835
1.8,0.1389309402407,0.03045556485158
1.81,0.1389337389904,0.03045703744167
1.82,0.1389372682755,0.03045889441022
1.83,0.1389415068956,0.03046112460245
1.84,0.1389464345061,0.03046371731385
1.85,0.1389520314029,0.0304666621769
1.86,0.1389582779448,0.03046994885723
1.87,0.138965155602,0.03047356760512
1.88,0.1389726462954,0.03047750890816
1.89,0.1389807319258,0.03048176324321
1.9,0.1389893953888,0.03048632161066
1.91,0.1389986198954,0.03049117517678
1.92,0.139008389173,0.03049631537959
1.93,0.1390186873413,0.03050173386353
1.94,0.1390294989644,0.03050742250686
1.95,0.1390408089772,0.03051337338288
1.96,0.1390526027382,0.03051957878781
1.97,0.1390648659707,0.03052603120989
1.98,0.1390775848234,0.03053272336107
1.99,0.1390907457484,0.03053964811295
2.0,0.1391043355471,0.03054679852109
