# Source: McKane and Newman (2005), Fig. 2 main-panel predator spectrum,
# red/noisy curve computed in the paper from 500 individual-level-model runs.
# Method: PDF page 3 rendered at 160 dpi with pdftoppm; red-hue centerline pixels
# extracted after excluding the overlapping inset. Axis calibration: image x=799..1168
# maps to omega=0..0.2; image y=1079..1343 maps to P=0.6..0.
omega,power
0.085094851,0.1
0.085636856,0.097727273
0.086178862,0.0875
0.087262873,0.084090909
0.087804878,0.073863636
0.088346883,0.072727273
0.088888889,0.075
0.089430894,0.072727273
0.0899729,0.068181818
0.090514905,0.061363636
0.091056911,0.059090909
0.091598916,0.055681818
0.092140921,0.055681818
0.092682927,0.056818182
0.093224932,0.059090909
0.093766938,0.057954545
0.094308943,0.055681818
0.094850949,0.052272727
0.095392954,0.047727273
0.095934959,0.047727273
0.096476965,0.051136364
0.09701897,0.051136364
0.097560976,0.048863636
0.098102981,0.046590909
0.098644986,0.045454545
0.099186992,0.043181818
0.099728997,0.038636364
0.100271,0.038636364
0.10135501,0.040909091
0.10189702,0.039772727
0.10243902,0.038636364
0.10298103,0.0375
0.10352304,0.036363636
0.10406504,0.036363636
0.10460705,0.034090909
0.10514905,0.035227273
0.10569106,0.034090909
0.10623306,0.029545455
0.10677507,0.027272727
0.10731707,0.027272727
0.10785908,0.027272727
0.10840108,0.029545455
0.10894309,0.029545455
0.10948509,0.029545455
0.1100271,0.029545455
0.11056911,0.028409091
0.11111111,0.026136364
0.11382114,0.025
0.11436314,0.025
0.11490515,0.020454545
0.11544715,0.025
0.11598916,0.025
0.11653117,0.022727273
0.11761518,0.018181818
0.11869919,0.022727273
0.11924119,0.022727273
0.1197832,0.022727273
0.1203252,0.021590909
0.12086721,0.021590909
0.12140921,0.020454545
0.12195122,0.020454545
0.12249322,0.020454545
0.12303523,0.020454545
0.12357724,0.020454545
0.12411924,0.018181818
0.12466125,0.018181818
0.12574526,0.018181818
0.12628726,0.018181818
0.12682927,0.018181818
0.12737127,0.018181818
0.12791328,0.018181818
0.12899729,0.015909091
0.1300813,0.015909091
0.13062331,0.015909091
0.13116531,0.015909091
0.13170732,0.015909091
0.13224932,0.015909091
0.13279133,0.015909091
0.13333333,0.015909091
0.13387534,0.015909091
0.13495935,0.013636364
0.13550136,0.013636364
0.13604336,0.013636364
0.13658537,0.013636364
0.13712737,0.013636364
0.13766938,0.013636364
0.13821138,0.013636364
0.13875339,0.013636364
0.13929539,0.013636364
0.1398374,0.013636364
0.1403794,0.013636364
0.14092141,0.013636364
0.14146341,0.013636364
0.14200542,0.013636364
0.14254743,0.013636364
0.14308943,0.013636364
0.14363144,0.013636364
0.14417344,0.011363636
0.14471545,0.011363636
0.14525745,0.011363636
0.14579946,0.011363636
0.14634146,0.011363636
0.14688347,0.011363636
0.14742547,0.011363636
0.14796748,0.011363636
0.14850949,0.011363636
0.14905149,0.011363636
0.1495935,0.011363636
0.1501355,0.011363636
0.15067751,0.011363636
0.15121951,0.011363636
0.15176152,0.011363636
0.15230352,0.011363636
0.15284553,0.011363636
0.15663957,0.0090909091
0.15718157,0.0090909091
0.15880759,0.0090909091
0.15934959,0.0090909091
0.1598916,0.0090909091
0.1604336,0.0090909091
0.16368564,0.0068181818
0.16422764,0.0068181818
0.16639566,0.0090909091
0.16693767,0.0090909091
0.16747967,0.0090909091
0.17127371,0.0090909091
0.17181572,0.0090909091
0.17235772,0.0090909091
0.17452575,0.0068181818
0.17506775,0.0068181818
0.17560976,0.0068181818
0.17615176,0.0068181818
0.17669377,0.0068181818
0.17723577,0.0068181818
0.17777778,0.0068181818
0.17831978,0.0068181818
0.17886179,0.0068181818
0.17940379,0.0068181818
0.18211382,0.0068181818
0.18265583,0.0068181818
0.18319783,0.0068181818
0.18428184,0.0068181818
0.18482385,0.0068181818
0.18536585,0.0068181818
0.18644986,0.0068181818
0.18699187,0.0068181818
0.18753388,0.0068181818
0.18807588,0.0068181818
0.18861789,0.0068181818
0.18915989,0.0068181818
0.1897019,0.0068181818
0.19078591,0.0068181818
0.19132791,0.0068181818
0.19186992,0.0068181818
