observableId	experimentId	time	measurement	noiseParameters
func_pct_C2	mut_C1	5	7.7756
func_pct_C2	mut_C1	10	19.1991
func_pct_C2	mut_C1	30	35.7249
func_pct_C2	mut_C1	60	55.1239
func_pct_C2	mut_C1	180	86.6778
func_pct_A1	mut_C2	0.1	0.4571
func_pct_A1	mut_C2	1	4.2478
func_pct_A1	mut_C2	5	20.0316
func_pct_A1	mut_C2	10	32.2209
func_pct_A1	mut_C2	30	69.9342
func_pct_A1	mut_C2	60	85.8165
func_pct_A1	mut_C2	180	94.3718
func_pct_A2	mut_C2	0.1	0.1958
func_pct_A2	mut_C2	1	0.7838
func_pct_A2	mut_C2	5	4.1824
func_pct_A2	mut_C2	10	8.5289
func_pct_A2	mut_C2	30	27.6461
func_pct_A2	mut_C2	60	54.4439
func_pct_A2	mut_C2	180	85.1631
func_pct_B1	mut_C2	0.1	1.3065
func_pct_B1	mut_C2	1	2.9409
func_pct_B1	mut_C2	5	11.4371
func_pct_B1	mut_C2	10	18.8877
func_pct_B1	mut_C2	30	45.8153
func_pct_B1	mut_C2	60	56.9879
func_pct_B1	mut_C2	180	89.2142
func_pct_B2	mut_C2	0.1	0.2284
func_pct_B2	mut_C2	1	4.3785
func_pct_B2	mut_C2	5	19.5411
func_pct_B2	mut_C2	10	31.6981
func_pct_B2	mut_C2	30	68.1656
func_pct_B2	mut_C2	60	77.1827
func_pct_B2	mut_C2	180	92.8037
func_pct_C1	mut_C2	0.1	0.1958
func_pct_C1	mut_C2	1	0.6531
func_pct_C1	mut_C2	5	0.5878
func_pct_C1	mut_C2	10	4.2478
func_pct_C1	mut_C2	30	13.1368
func_pct_C1	mut_C2	60	30.1291
func_pct_C1	mut_C2	180	59.9935
