Stot_molecules,R_active_MAPK_molecules
7.056440607367702000e+01,1.479289940828402337e+02
7.192918807285516891e+01,1.479289940828402337e+02
7.332036623985960944e+01,1.479289940828402337e+02
7.473845110140905490e+01,1.479289940828402337e+02
7.618396305828939319e+01,1.479289940828402337e+02
7.765743257632720997e+01,1.479289940828402337e+02
7.915940038105728149e+01,1.479289940828402337e+02
8.069041765615489226e+01,1.479289940828402337e+02
8.225104624570617773e+01,1.479289940828402337e+02
8.384185886039045954e+01,1.479289940828402337e+02
8.546343928765037390e+01,1.479289940828402337e+02
8.711638260592695815e+01,1.479289940828402337e+02
8.880129540303809677e+01,1.479289940828402337e+02
9.051879599878074600e+01,1.479289940828402337e+02
9.226951467183847910e+01,1.479289940828402337e+02
9.405409389107752816e+01,1.479289940828402337e+02
9.587318855131640305e+01,1.479289940828402337e+02
9.772746621365556052e+01,1.479289940828402337e+02
9.961760735045514537e+01,1.479289940828402337e+02
1.015443055950509290e+02,2.958579881656804673e+02
1.035082679962999634e+02,2.958579881656804673e+02
1.055102152780493441e+02,2.958579881656804673e+02
1.075508821036234508e+02,2.958579881656804673e+02
1.096310173454264998e+02,2.958579881656804673e+02
1.117513843597595127e+02,2.958579881656804673e+02
1.139127612669525575e+02,2.958579881656804673e+02
1.161159412369149067e+02,2.958579881656804673e+02
1.183617327802080723e+02,2.958579881656804673e+02
1.206509600447484729e+02,2.958579881656804673e+02
1.229844631182485699e+02,2.958579881656804673e+02
1.253630983365075338e+02,2.958579881656804673e+02
1.277877385976644717e+02,4.437869822485207010e+02
1.302592736825297663e+02,4.437869822485207010e+02
1.327786105811117352e+02,4.437869822485207010e+02
1.353466738254587369e+02,4.437869822485207010e+02
1.379644058289387374e+02,4.437869822485207010e+02
1.406327672320808233e+02,4.437869822485207010e+02
1.433527372551056658e+02,4.437869822485207010e+02
1.461253140572742666e+02,4.437869822485207010e+02
1.489515151031867788e+02,4.437869822485207010e+02
1.518323775361659216e+02,4.437869822485207010e+02
1.547689585588620105e+02,4.437869822485207010e+02
1.577623358212191818e+02,4.437869822485207010e+02
1.608136078159453746e+02,4.437869822485207010e+02
1.639238942816309077e+02,4.437869822485207010e+02
1.670943366136638986e+02,4.437869822485207010e+02
1.703260982830930459e+02,4.437869822485207010e+02
1.736203652635916796e+02,4.437869822485207010e+02
1.769783464666798238e+02,4.437869822485207010e+02
1.804012741853634623e+02,4.437869822485207010e+02
1.838904045463547448e+02,4.437869822485207010e+02
1.874470179710381785e+02,4.437869822485207010e+02
1.910724196453523689e+02,4.437869822485207010e+02
1.947679399987599425e+02,4.437869822485207010e+02
1.985349351924809014e+02,4.437869822485207010e+02
2.023747876171692042e+02,4.437869822485207010e+02
2.062889064002144721e+02,4.437869822485207010e+02
2.102787279228557793e+02,4.437869822485207010e+02
2.143457163472967011e+02,4.437869822485207010e+02
2.184913641540152298e+02,4.437869822485207010e+02
2.227171926894659748e+02,4.437869822485207010e+02
2.270247527243751620e+02,4.437869822485207010e+02
2.314156250228338081e+02,4.437869822485207010e+02
2.358914209223976854e+02,4.437869822485207010e+02
2.404537829254067276e+02,4.437869822485207010e+02
2.451043853017413596e+02,4.437869822485207010e+02
2.498449347032366461e+02,4.437869822485207010e+02
2.546771707899797548e+02,4.437869822485207010e+02
2.596028668687208096e+02,4.437869822485207010e+02
2.646238305436299356e+02,4.437869822485207010e+02
2.697419043796434153e+02,4.437869822485207010e+02
2.749589665786363639e+02,4.437869822485207010e+02
2.802769316686753314e+02,4.437869822485207010e+02
2.856977512066007421e+02,4.437869822485207010e+02
2.912234144941983232e+02,4.437869822485207010e+02
2.968559493082218523e+02,4.437869822485207010e+02
3.025974226445351292e+02,4.437869822485207010e+02
3.084499414766466998e+02,4.437869822485207010e+02
3.144156535289149019e+02,4.437869822485207010e+02
3.204967480647076172e+02,4.437869822485207010e+02
3.266954566898060079e+02,4.437869822485207010e+02
3.330140541713464017e+02,4.437869822485207010e+02
3.394548592726017091e+02,4.437869822485207010e+02
3.460202356039079064e+02,4.437869822485207010e+02
3.527125924900485074e+02,4.437869822485207010e+02
3.595343858544150066e+02,4.437869822485207010e+02
3.664881191202678679e+02,4.437869822485207010e+02
3.735763441294283780e+02,4.437869822485207010e+02
3.808016620787396391e+02,4.437869822485207010e+02
3.881667244746386132e+02,4.437869822485207010e+02
3.956742341061913635e+02,4.437869822485207010e+02
4.033269460369472199e+02,4.437869822485207010e+02
4.111276686159764608e+02,4.437869822485207010e+02
4.190792645084624155e+02,4.437869822485207010e+02
4.271846517462262796e+02,4.437869822485207010e+02
4.354468047985697581e+02,4.437869822485207010e+02
4.438687556638292335e+02,4.437869822485207010e+02
4.524535949820414658e+02,4.437869822485207010e+02
4.612044731691290735e+02,4.437869822485207010e+02
4.701246015730223462e+02,4.437869822485207010e+02
4.792172536521419488e+02,4.437869822485207010e+02
4.884857661766738488e+02,4.437869822485207010e+02
4.979335404530786491e+02,4.437869822485207010e+02
5.075640435722838220e+02,5.917159763313609346e+02
5.173808096820170022e+02,5.917159763313609346e+02
5.273874412837485579e+02,5.917159763313609346e+02
5.375876105547143879e+02,5.917159763313609346e+02
5.479850606955150170e+02,5.917159763313609346e+02
5.585836073037712595e+02,5.917159763313609346e+02
5.693871397743515672e+02,5.917159763313609346e+02
5.803996227266801498e+02,5.917159763313609346e+02
5.916250974596511014e+02,5.917159763313609346e+02
6.030676834346807027e+02,5.917159763313609346e+02
6.147315797874446162e+02,5.917159763313609346e+02
6.266210668688531769e+02,5.917159763313609346e+02
6.387405078158299148e+02,5.917159763313609346e+02
6.510943501524714065e+02,5.917159763313609346e+02
6.636871274221742851e+02,5.917159763313609346e+02
6.765234608513296735e+02,5.917159763313609346e+02
6.896080610451946313e+02,5.917159763313609346e+02
7.029457297165633918e+02,5.917159763313609346e+02
7.165413614478731006e+02,5.917159763313609346e+02
7.303999454873901414e+02,7.396449704142011115e+02
7.445265675801359748e+02,7.396449704142011115e+02
7.589264118342251777e+02,7.396449704142011115e+02
7.736047626233008714e+02,7.396449704142011115e+02
7.885670065257634178e+02,7.396449704142011115e+02
8.038186343015072453e+02,7.396449704142011115e+02
8.193652429068886249e+02,7.396449704142011115e+02
8.352125375486655230e+02,7.396449704142011115e+02
8.513663337776616800e+02,7.396449704142011115e+02
8.678325596229251460e+02,7.396449704142011115e+02
8.846172577671626414e+02,7.396449704142011115e+02
9.017265877642491887e+02,7.396449704142011115e+02
9.191668282996266726e+02,7.396449704142011115e+02
9.369443794944203319e+02,7.396449704142011115e+02
9.550657652541189009e+02,7.396449704142011115e+02
9.735376356626811685e+02,7.396449704142011115e+02
9.923667694229455947e+02,7.396449704142011115e+02
1.011560076344240997e+03,7.396449704142011115e+02
1.031124599878109166e+03,7.396449704142011115e+02
1.051067519703071412e+03,7.396449704142011115e+02
1.071396154359385491e+03,7.396449704142011115e+02
1.092117963934763566e+03,7.396449704142011115e+02
1.113240552802031743e+03,7.396449704142011115e+02
1.134771672409741541e+03,7.396449704142011115e+02
1.156719224126751214e+03,7.396449704142011115e+02
1.179091262141826292e+03,7.396449704142011115e+02
1.201895996419320682e+03,7.396449704142011115e+02
1.225141795712021803e+03,7.396449704142011115e+02
1.248837190632270449e+03,8.875739644970414020e+02
1.272990876782474288e+03,1.035502958579881806e+03
1.297611717946172803e+03,1.035502958579881806e+03
1.322708749340818031e+03,1.035502958579881806e+03
1.348291180933467558e+03,1.035502958579881806e+03
1.374368400820606439e+03,1.035502958579881806e+03
1.400949978673338137e+03,1.035502958579881806e+03
1.428045669249208004e+03,1.035502958579881806e+03
1.455665415971949187e+03,1.035502958579881806e+03
1.483819354580465188e+03,1.035502958579881806e+03
1.512517816848384427e+03,1.035502958579881806e+03
1.541771334375557899e+03,1.035502958579881806e+03
1.571590642452885731e+03,1.035502958579881806e+03
1.601986684001893082e+03,1.035502958579881806e+03
1.632970613590502808e+03,1.035502958579881806e+03
1.664553801526475127e+03,1.331360946745562160e+03
1.696747838030019466e+03,1.331360946745562160e+03
1.729564537487107827e+03,1.331360946745562160e+03
