# Digitized from Fig. 2D of Smith GR, Shanley DP (2013), BMC Systems Biology 7:41,
# doi:10.1186/1752-0509-7-41. The published PDF page was rendered at 400 dpi with
# pdftoppm; the axis frame and tick marks were located by pixel run detection and
# used for a linear (or log) calibration; each plotted curve was then traced column
# by column, selecting at each column the colour-matched pixel run closest to the
# previous column's centre so that data markers, error bars and legend keys do not
# capture the trace.
time_min,fraction_of_max
12.0035,0.440529
12.0381,0.440529
12.0727,0.440529
12.1074,0.440529
12.142,0.440529
12.1767,0.440529
12.2113,0.442291
12.246,0.442291
12.2806,0.442291
12.3152,0.442291
12.3499,0.442291
12.3845,0.444053
12.4192,0.444053
12.4538,0.444053
12.4885,0.444053
12.5231,0.444053
12.5577,0.444053
12.5924,0.444053
12.627,0.444053
12.6617,0.444053
12.6963,0.444053
12.7309,0.444053
12.7656,0.444053
12.8002,0.444053
12.8349,0.444053
12.8695,0.444053
12.9042,0.444053
12.9388,0.444053
12.9734,0.444053
13.0081,0.444053
13.0427,0.444053
13.0774,0.444053
13.112,0.445815
13.1467,0.445815
13.1813,0.445815
13.2159,0.445815
13.2506,0.445815
13.2852,0.445815
13.3199,0.445815
13.3545,0.447577
13.3891,0.447577
13.4238,0.447577
13.4584,0.447577
13.4931,0.447577
13.5277,0.447577
13.5624,0.447577
13.597,0.447577
13.6316,0.447577
13.6663,0.447577
13.7009,0.447577
13.7356,0.447577
13.7702,0.447577
13.8048,0.447577
13.8395,0.447577
13.8741,0.447577
13.9088,0.447577
13.9434,0.447577
13.9781,0.447577
14.0127,0.447577
14.0473,0.447577
14.082,0.447577
14.1166,0.447577
14.1513,0.447577
14.1859,0.449339
14.2206,0.449339
14.2552,0.449339
14.2898,0.449339
14.3245,0.449339
14.3591,0.449339
14.3938,0.449339
14.4284,0.451101
14.463,0.451101
14.4977,0.451101
14.5323,0.451101
14.567,0.451101
14.6016,0.451101
14.6363,0.451101
14.6709,0.451101
14.7055,0.451101
14.7402,0.451101
14.7748,0.451101
14.8095,0.451101
14.8441,0.451101
14.8788,0.451101
14.9134,0.451101
14.948,0.451101
14.9827,0.451101
15.0173,0.451101
15.052,0.451101
15.0866,0.451101
15.1212,0.452863
15.1559,0.454626
15.1905,0.454626
15.2252,0.454626
15.2598,0.454626
15.2945,0.454626
15.3291,0.454626
15.3637,0.454626
15.3984,0.456388
15.433,0.45815
15.4677,0.45815
