# Digitized from Fig. 2H of Smith GR, Shanley DP (2013), BMC Systems Biology 7:41,
# doi:10.1186/1752-0509-7-41. The published PDF page was rendered at 400 dpi with
# pdftoppm; the axis frame and tick marks were located by pixel run detection and
# used for a linear (or log) calibration; each plotted curve was then traced column
# by column, selecting at each column the colour-matched pixel run closest to the
# previous column's centre so that data markers, error bars and legend keys do not
# capture the trace.
# Insulin dose 1 uM; the horizontal axis is calibrated on the decade ticks.
external_ROS_M,fraction_DNA_bound_FOXO
1.703e-08,0.165854
1.74894e-08,0.165854
1.79612e-08,0.165854
1.84457e-08,0.165854
1.89433e-08,0.165854
1.94544e-08,0.165854
1.99792e-08,0.165854
2.05182e-08,0.165854
2.10717e-08,0.165854
2.16401e-08,0.165854
2.22239e-08,0.165854
2.28235e-08,0.165854
2.34392e-08,0.165854
2.40715e-08,0.165854
2.47209e-08,0.165854
2.53878e-08,0.165854
2.60726e-08,0.165854
2.6776e-08,0.165854
2.74983e-08,0.165854
2.82402e-08,0.165854
2.9002e-08,0.165854
2.97844e-08,0.165854
3.05879e-08,0.165854
3.1413e-08,0.165854
3.22605e-08,0.165854
3.31307e-08,0.165854
3.40245e-08,0.165854
3.49424e-08,0.165854
3.5885e-08,0.165854
3.68531e-08,0.165854
3.78473e-08,0.165854
3.88683e-08,0.165854
3.99168e-08,0.165854
4.09937e-08,0.165854
4.20996e-08,0.165854
4.32353e-08,0.165854
4.44016e-08,0.165854
4.55994e-08,0.165854
4.68296e-08,0.165854
4.80929e-08,0.165854
4.93903e-08,0.165854
5.07227e-08,0.165854
5.2091e-08,0.165854
5.34963e-08,0.165854
5.49395e-08,0.165854
5.64216e-08,0.165854
5.79436e-08,0.166667
5.95068e-08,0.166667
6.11121e-08,0.166667
6.27607e-08,0.166667
6.44538e-08,0.166667
6.61926e-08,0.16748
6.79782e-08,0.16748
6.98121e-08,0.16748
7.16954e-08,0.16748
7.36295e-08,0.16748
7.56158e-08,0.16748
7.76557e-08,0.16748
7.97506e-08,0.16748
8.19021e-08,0.16748
8.41115e-08,0.16748
8.63806e-08,0.16748
8.87109e-08,0.16748
9.1104e-08,0.16748
9.35617e-08,0.16748
9.60857e-08,0.16748
9.86778e-08,0.16748
1.0134e-07,0.16748
1.04074e-07,0.16748
1.06881e-07,0.16748
1.09765e-07,0.16748
1.12726e-07,0.16748
1.15767e-07,0.169106
1.1889e-07,0.169106
1.22097e-07,0.169106
1.25391e-07,0.169106
1.28774e-07,0.169106
1.32247e-07,0.169106
1.35815e-07,0.169106
1.39479e-07,0.169106
