# Digitized from Fig. 2C of Smith GR, Shanley DP (2013), BMC Systems Biology 7:41,
# doi:10.1186/1752-0509-7-41. The published PDF page was rendered at 400 dpi with
# pdftoppm; the axis frame and tick marks were located by pixel run detection and
# used for a linear (or log) calibration; each plotted curve was then traced column
# by column, selecting at each column the colour-matched pixel run closest to the
# previous column's centre so that data markers, error bars and legend keys do not
# capture the trace.
time_min,fraction_active
46.8902,0.00564374
47.0289,0.00564374
47.1676,0.00564374
47.3064,0.00564374
47.4451,0.00564374
47.5838,0.00564374
47.7225,0.00493827
47.8613,0.00493827
48,0.00493827
48.1387,0.0042328
48.2775,0.0042328
48.4162,0.0042328
48.5549,0.0042328
48.6936,0.0042328
48.8324,0.0042328
48.9711,0.0042328
49.1098,0.0042328
49.2486,0.0042328
49.3873,0.0042328
49.526,0.0042328
49.6647,0.00352734
49.8035,0.00352734
49.9422,0.00352734
50.0809,0.00352734
50.2197,0.00282187
50.3584,0.00282187
50.4971,0.00282187
50.6358,0.00282187
50.7746,0.00282187
50.9133,0.00282187
51.052,0.00282187
51.1908,0.00282187
51.3295,0.00282187
51.4682,0.00282187
51.6069,0.00282187
51.7457,0.00282187
51.8844,0.00282187
52.0231,0.00282187
52.1618,0.00282187
52.3006,0.00282187
52.4393,0.0021164
52.578,0.0021164
52.7168,0.0021164
52.8555,0.0021164
52.9942,0.0021164
53.1329,0.0021164
53.2717,0.0021164
53.4104,0.00141093
53.5491,0.00141093
53.6879,0.00141093
53.8266,0.00141093
53.9653,0.00141093
54.104,0.00141093
54.2428,0.00141093
54.3815,0.00141093
54.5202,0.00141093
54.659,0.00141093
54.7977,0.00141093
54.9364,0.00141093
55.0751,0.00141093
55.2139,0.00141093
55.3526,0.00141093
55.4913,0.00141093
55.6301,0.00141093
55.7688,0.00141093
55.9075,0.00141093
56.0462,0.00141093
56.185,0.00141093
56.3237,0.00141093
56.4624,0.00141093
56.6012,0.00141093
56.7399,0.00141093
56.8786,0.00141093
57.0173,0.00141093
57.1561,0.000705467
57.2948,0.000705467
57.4335,0.000705467
57.5723,0.000705467
57.711,0.000705467
57.8497,0.000705467
57.9884,0.000705467
58.1272,0.000705467
58.2659,0.000705467
58.4046,0.000705467
58.5434,0
58.6821,0
58.8208,0
58.9595,0
59.0983,0
59.237,0
59.3757,0
59.5145,0
59.6532,0
59.7919,0
59.9306,0
60.0694,0
60.2081,0.000705467
