# Digitized from Fig. 6A of Barua & Hlavacek (2013) PLoS Comput Biol 9(9):e1003217.
# Panel: SW480 cell, transfected APC1338 (APC-B; label 'APC 1338 / APC 21 / APC 22').
# Curve traced from the 300-dpi PDF render (embedded JPEG, 1461x1089 px, top-left panel)
# by darkest-pixel tracing with continuity tracking; axes calibrated to the plot frame
# (x: 1e-2..1e2 log; y: 0..8 linear).
# col1 = relative level of transfected APC1338 (added/endogenous, endogenous=100 nM)
# col2 = relative beta-catenin level (normalized to the nominal normal-cell level, 35 nM)
3.45511,7.20879
3.50873,7.22637
3.56319,7.23516
3.6185,7.24396
3.67466,7.26154
3.7317,7.27912
3.78962,7.28791
3.84844,7.2967
3.90817,7.31429
3.96883,7.32308
4.03043,7.33187
4.09298,7.34066
4.15651,7.34945
4.22103,7.34945
4.28654,7.35824
4.35307,7.36703
4.42064,7.36703
4.48925,7.37582
4.55893,7.38462
4.62969,7.39341
4.70155,7.39341
4.77452,7.41099
4.84863,7.41099
4.92388,7.41099
5.00031,7.42857
5.07792,7.42857
5.15673,7.42857
5.23677,7.44615
5.31805,7.44615
5.40059,7.44615
5.48442,7.45495
5.56954,7.46374
5.65599,7.46374
5.74377,7.47253
5.83292,7.48132
5.92346,7.48132
6.0154,7.48132
6.10876,7.48132
6.20358,7.4989
6.29986,7.4989
6.39764,7.4989
6.49694,7.4989
6.59778,7.50769
6.70019,7.50769
6.80418,7.51648
6.90979,7.51648
7.01704,7.52527
7.12595,7.52527
7.23655,7.52527
7.34887,7.52527
7.46294,7.53407
7.57877,7.53407
7.6964,7.53407
7.81586,7.53407
7.93717,7.54286
8.06036,7.54286
8.18547,7.54286
8.31251,7.54286
8.44153,7.55165
8.57256,7.55165
8.70561,7.55165
8.84073,7.55165
8.97795,7.55165
9.1173,7.56044
9.25881,7.56923
9.40252,7.56923
9.54846,7.56923
9.69666,7.56923
9.84716,7.56923
10,7.56923
10.1552,7.56923
10.3128,7.56923
10.4729,7.56923
10.6354,7.56923
10.8005,7.56923
10.9682,7.56923
11.1384,7.56923
11.3113,7.56923
11.4868,7.56923
11.6651,7.56923
11.8462,7.56923
12.0301,7.56923
12.2168,7.56923
12.4064,7.56923
12.599,7.57802
12.7945,7.57802
12.9931,7.57802
13.1948,7.57802
13.3996,7.57802
13.6075,7.57802
13.8187,7.57802
14.0332,7.57802
14.251,7.58681
14.4722,7.58681
14.6968,7.58681
14.925,7.58681
15.1566,7.58681
15.3919,7.57802
15.6308,7.57802
15.8734,7.57802
16.1197,7.57802
16.3699,7.56923
16.624,7.56923
16.882,7.56923
17.1441,7.56923
17.4102,7.56923
17.6804,7.56923
17.9548,7.56923
18.2335,7.56923
18.5165,7.56923
18.8039,7.56923
19.0957,7.56923
19.3921,7.56923
19.6931,7.56923
19.9988,7.56923
20.3092,7.56923
20.6244,7.56923
20.9445,7.56923
21.2696,7.56044
21.5997,7.56044
21.935,7.56923
22.2754,7.56923
22.6212,7.56044
22.9723,7.55165
23.3288,7.56044
23.6909,7.55165
24.0586,7.55165
24.432,7.55165
24.8113,7.55165
25.1964,7.55165
25.5874,7.55165
25.9846,7.55165
26.3879,7.54286
26.7975,7.54286
27.2134,7.54286
27.6358,7.54286
28.0647,7.54286
28.5003,7.54286
28.9427,7.53407
29.3919,7.53407
29.8481,7.53407
30.3114,7.53407
30.7818,7.53407
31.2596,7.53407
31.7448,7.53407
32.2375,7.52527
32.7379,7.52527
33.246,7.52527
33.762,7.52527
34.286,7.52527
34.8182,7.52527
35.3586,7.52527
35.9074,7.52527
36.4647,7.51648
37.0307,7.51648
37.6055,7.51648
38.1891,7.51648
38.7819,7.51648
39.3838,7.51648
39.9951,7.50769
40.6159,7.50769
41.2463,7.4989
41.8865,7.4989
42.5366,7.4989
43.1968,7.4989
43.8673,7.4989
44.5481,7.4989
45.2396,7.4989
45.9417,7.4989
46.6548,7.48132
47.3789,7.48132
48.1143,7.48132
48.8611,7.48132
49.6195,7.48132
50.3896,7.48132
51.1717,7.48132
