tCycB_AU,pEnsaB55_ss_AU
0.3646,0.2132
0.3646,0.2183
0.3646,0.2234
0.3646,0.2487
0.3646,0.2538
0.3646,0.2589
0.3674,0.0305
0.3674,0.0355
0.3674,0.2132
0.3674,0.2183
0.3674,0.2487
0.3674,0.2538
0.3674,0.2589
0.3702,0.0305
0.3702,0.0355
0.3702,0.0406
0.3702,0.2487
0.3702,0.2538
0.3702,0.2589
0.3729,0.0305
0.3729,0.0355
0.3729,0.0406
0.3729,0.2487
0.3729,0.2538
0.3729,0.2589
0.3757,0.0305
0.3757,0.0355
0.3757,0.0406
0.3757,0.2487
0.3757,0.2538
0.3757,0.2589
0.3785,0.0305
0.3785,0.0355
0.3785,0.0406
0.3785,0.2132
0.3785,0.2183
0.3785,0.2487
0.3785,0.2538
0.3785,0.2589
0.3812,0.0305
0.3812,0.0355
0.3812,0.0406
0.3812,0.2081
0.3812,0.2132
0.3812,0.2183
0.3812,0.2487
0.3812,0.2538
0.3812,0.2589
0.384,0.0305
0.384,0.0355
0.384,0.0406
0.384,0.2081
0.384,0.2132
0.384,0.2183
0.384,0.2487
0.384,0.2538
0.384,0.2589
0.3867,0.0305
0.3867,0.0355
0.3867,0.0406
0.3867,0.2487
0.3867,0.2538
0.3867,0.2589
0.3895,0.0305
0.3895,0.0355
0.3895,0.0406
0.3895,0.2487
0.3895,0.2538
0.3895,0.2589
0.3923,0.0305
0.3923,0.0355
0.3923,0.0406
0.3923,0.2487
0.3923,0.2538
0.3923,0.2589
0.395,0.0305
0.395,0.0355
0.395,0.0406
0.395,0.2081
0.395,0.2487
0.395,0.2538
0.395,0.2589
0.3978,0.0305
0.3978,0.0355
0.3978,0.0406
0.3978,0.2081
0.3978,0.2132
0.3978,0.2183
0.3978,0.2487
0.3978,0.2538
0.3978,0.2589
0.4006,0.0051
0.4006,0.0305
0.4006,0.0355
0.4006,0.0406
0.4006,0.2081
0.4006,0.2132
0.4006,0.2487
0.4006,0.2538
0.4006,0.2589
0.4033,0.0355
0.4033,0.0406
0.4033,0.2487
0.4033,0.2538
0.4033,0.2589
0.4061,0.0355
0.4061,0.0406
0.4061,0.2487
0.4061,0.2538
0.4061,0.2589
0.4088,0.0355
0.4088,0.0406
0.4088,0.2487
0.4088,0.2538
0.4088,0.2589
0.4116,0.0355
0.4116,0.0406
0.4116,0.2487
0.4116,0.2538
0.4116,0.2589
0.4144,0.0355
0.4144,0.0406
0.4144,0.203
0.4144,0.2081
0.4144,0.2132
0.4144,0.2487
0.4144,0.2538
0.4144,0.2589
0.4171,0.0355
0.4171,0.0406
0.4171,0.0457
0.4171,0.203
0.4171,0.2081
0.4171,0.2132
0.4171,0.2487
0.4171,0.2538
0.4171,0.2589
0.4199,0.0355
0.4199,0.0406
0.4199,0.0457
0.4199,0.2487
0.4199,0.2538
0.4199,0.2589
0.4227,0.0355
0.4227,0.0406
0.4227,0.0457
0.4227,0.2487
0.4227,0.2538
0.4227,0.2589
0.4254,0.0355
0.4254,0.0406
0.4254,0.0457
0.4254,0.2487
0.4254,0.2538
0.4254,0.2589
0.4282,0.0355
0.4282,0.0406
0.4282,0.0457
0.4282,0.2487
0.4282,0.2538
0.4282,0.2589
0.4309,0.0355
0.4309,0.0406
0.4309,0.0457
0.4309,0.203
0.4309,0.2081
0.4309,0.2487
0.4309,0.2538
0.4309,0.2589
0.4337,0.0355
0.4337,0.0406
0.4337,0.0457
0.4337,0.203
0.4337,0.2081
0.4337,0.2487
0.4337,0.2538
0.4337,0.2589
0.4365,0.0355
0.4365,0.0406
0.4365,0.0457
0.4365,0.2487
0.4365,0.2538
0.4365,0.2589
0.4392,0.0355
0.4392,0.0406
0.4392,0.0457
0.4392,0.2487
0.4392,0.2538
0.4392,0.2589
0.442,0.0355
0.442,0.0406
0.442,0.0457
0.442,0.2487
0.442,0.2538
0.442,0.2589
0.4448,0.0355
0.4448,0.0406
0.4448,0.0457
0.4448,0.2487
0.4448,0.2538
0.4448,0.2589
0.4475,0.0406
0.4475,0.0457
0.4475,0.198
0.4475,0.203
0.4475,0.2081
0.4475,0.2487
0.4475,0.2538
0.4475,0.2589
0.4503,0.0406
0.4503,0.0457
0.4503,0.198
0.4503,0.203
0.4503,0.2081
0.4503,0.2487
0.4503,0.2538
0.4503,0.2589
0.453,0.0406
0.453,0.0457
0.453,0.203
0.453,0.2081
0.453,0.2487
0.453,0.2538
0.453,0.2589
0.4558,0.0406
0.4558,0.0457
0.4558,0.2487
0.4558,0.2538
0.4558,0.2589
0.4586,0.0406
0.4586,0.0457
0.4586,0.0508
0.4586,0.2487
0.4586,0.2538
0.4586,0.2589
0.4613,0.0406
0.4613,0.0457
0.4613,0.0508
0.4613,0.2487
0.4613,0.2538
0.4613,0.2589
0.4641,0.0406
0.4641,0.0457
0.4641,0.0508
0.4641,0.198
0.4641,0.203
0.4641,0.2487
0.4641,0.2538
0.4641,0.2589
0.4669,0.0406
0.4669,0.0457
0.4669,0.0508
0.4669,0.198
0.4669,0.203
0.4669,0.2487
0.4669,0.2538
0.4669,0.2589
0.4696,0.0406
0.4696,0.0457
0.4696,0.0508
0.4696,0.198
0.4696,0.203
0.4696,0.2487
0.4696,0.2538
0.4696,0.2589
0.4724,0.0406
0.4724,0.0457
0.4724,0.0508
0.4724,0.2487
0.4724,0.2538
0.4724,0.2589
0.4751,0.0406
0.4751,0.0457
0.4751,0.0508
0.4751,0.2487
0.4751,0.2538
0.4751,0.2589
0.4779,0.0406
0.4779,0.0457
0.4779,0.0508
0.4779,0.2487
0.4779,0.2538
0.4779,0.2589
0.4807,0.0406
