kSyCb_permin,CycB_Cdk1_ss_AU
0.03779,0.0638
0.03779,0.066
0.03801,0.0638
0.0389,0.0596
0.0389,0.0617
0.0389,0.0638
0.03912,0.0596
0.03912,0.0617
0.03912,0.0638
0.03934,0.0617
0.03934,0.0638
0.04022,0.0596
0.04022,0.0617
0.04022,0.0638
0.04044,0.0596
0.04044,0.0617
0.04044,0.0638
0.04066,0.0596
0.04066,0.0617
0.04066,0.0638
0.04155,0.0596
0.04155,0.0617
0.04177,0.0596
0.04177,0.0617
0.04199,0.0596
0.04199,0.0617
0.04309,0.0596
0.04309,0.0617
0.04331,0.0596
0.04331,0.0617
0.04442,0.0574
0.04442,0.0596
0.04442,0.0617
0.04464,0.0574
0.04464,0.0596
0.04464,0.0617
0.04486,0.0596
0.04486,0.0617
0.04575,0.0596
0.04575,0.0617
0.04597,0.0574
0.04597,0.0596
0.04597,0.0617
0.04619,0.0596
0.04619,0.0617
0.04707,0.0596
0.04729,0.0574
0.04729,0.0596
0.04729,0.0617
0.04751,0.0574
0.04751,0.0596
0.04751,0.0617
0.0484,0.0596
0.04862,0.0574
0.04862,0.0596
0.04862,0.0617
0.04884,0.0574
0.04884,0.0596
0.04884,0.0617
0.04994,0.0574
0.04994,0.0596
0.04994,0.0617
0.05017,0.0574
0.05017,0.0596
0.05017,0.0617
0.05127,0.0574
0.05127,0.0596
0.05127,0.0617
0.05149,0.0574
0.05149,0.0596
0.05149,0.0617
0.0526,0.0574
0.0526,0.0596
0.05282,0.0574
0.05282,0.0596
0.05282,0.0617
0.05304,0.0596
0.05414,0.0596
0.05436,0.0574
0.05436,0.0596
0.05436,0.0617
0.05459,0.0574
0.05459,0.0596
0.05459,0.0617
0.05481,0.0574
0.05481,0.0596
0.05481,0.0617
0.05503,0.0574
0.05503,0.0596
0.05503,0.0617
0.05525,0.0574
0.05525,0.0596
0.05525,0.0617
0.05547,0.0574
0.05547,0.0596
0.05547,0.0617
0.05569,0.0574
0.05569,0.0596
0.05569,0.0617
0.05591,0.0574
0.05591,0.0596
0.05591,0.0617
0.05613,0.0574
0.05613,0.0596
0.05613,0.0617
0.05635,0.0574
0.05635,0.0596
0.05635,0.0617
0.05657,0.0574
0.05657,0.0596
0.05657,0.0617
0.0568,0.0574
0.0568,0.0596
0.0568,0.0617
0.05702,0.0574
0.05702,0.0596
0.05702,0.0617
0.05724,0.0574
0.05724,0.0596
0.05724,0.0617
0.05746,0.0574
0.05746,0.0596
0.05746,0.0617
0.05768,0.0574
0.05768,0.0596
0.05768,0.0617
0.0579,0.0574
0.0579,0.0596
0.0579,0.0617
0.05812,0.0574
0.05812,0.0596
0.05812,0.0617
0.05834,0.0574
0.05834,0.0596
0.05834,0.0617
0.05856,0.0574
0.05856,0.0596
0.05856,0.0617
0.05878,0.0574
0.05878,0.0596
0.05878,0.0617
0.05901,0.0574
0.05901,0.0596
0.05901,0.0617
0.05923,0.0574
0.05923,0.0596
0.05923,0.0617
0.05945,0.0574
0.05945,0.0596
0.05945,0.0617
0.05967,0.0574
0.05967,0.0596
0.05967,0.0617
0.05989,0.0574
0.05989,0.0596
0.05989,0.0617
0.06011,0.0574
0.06011,0.0596
0.06011,0.0617
0.06033,0.0574
0.06033,0.0596
0.06033,0.0617
0.06055,0.0574
0.06055,0.0596
0.06055,0.0617
0.06077,0.0574
0.06077,0.0596
0.06077,0.0617
0.06099,0.0574
0.06099,0.0596
0.06099,0.0617
0.06122,0.0574
0.06122,0.0596
0.06122,0.0617
0.06144,0.0574
0.06144,0.0596
0.06144,0.0617
0.06166,0.0574
0.06166,0.0596
0.06166,0.0617
0.06188,0.0574
0.06188,0.0596
0.06188,0.0617
0.0621,0.0574
0.0621,0.0596
0.0621,0.0617
0.06232,0.0574
0.06232,0.0596
0.06232,0.0617
0.06254,0.0574
0.06254,0.0596
0.06254,0.0617
0.06276,0.0574
0.06276,0.0596
0.06276,0.0617
0.06298,0.0574
0.06298,0.0596
0.06298,0.0617
0.0632,0.0574
0.0632,0.0596
0.0632,0.0617
0.06343,0.0574
0.06343,0.0596
0.06343,0.0617
0.06365,0.0574
0.06365,0.0596
0.06365,0.0617
0.06387,0.0574
0.06387,0.0596
0.06387,0.0617
0.06409,0.0574
0.06409,0.0596
0.06409,0.0617
0.06431,0.0574
0.06431,0.0596
0.06431,0.0617
0.06453,0.0574
0.06453,0.0596
0.06453,0.0617
0.06475,0.0574
0.06475,0.0596
0.06475,0.0617
0.06497,0.0574
0.06497,0.0596
0.06497,0.0617
0.06519,0.0574
0.06519,0.0596
0.06519,0.0617
0.06541,0.0574
0.06541,0.0596
0.06541,0.0617
0.06564,0.0574
0.06564,0.0596
0.06564,0.0617
0.06586,0.0574
0.06586,0.0596
0.06586,0.0617
0.06608,0.0574
0.06608,0.0596
0.06608,0.0617
0.0663,0.0574
0.0663,0.0596
0.0663,0.0617
0.06652,0.0574
0.06652,0.0596
0.06652,0.0617
0.06674,0.0574
0.06674,0.0596
0.06674,0.0617
0.06696,0.0574
0.06696,0.0596
0.06696,0.0617
0.06718,0.0574
0.06718,0.0596
0.06718,0.0617
0.0674,0.0574
0.0674,0.0596
0.0674,0.0617
0.06762,0.0574
0.06762,0.0596
0.06762,0.0617
0.06785,0.0574
0.06785,0.0596
0.06785,0.0617
0.06807,0.0574
0.06807,0.0596
0.06807,0.0617
0.06829,0.0574
0.06829,0.0596
0.06829,0.0617
0.06851,0.0574
0.06851,0.0596
0.06851,0.0617
0.06873,0.0574
0.06873,0.0596
0.06873,0.0617
0.06895,0.0574
0.06895,0.0596
0.06895,0.0617
0.06917,0.0574
0.06917,0.0596
0.06917,0.0617
0.06939,0.0574
0.06939,0.0596
0.06939,0.0617
0.06961,0.0574
0.06961,0.0596
0.06961,0.0617
0.06983,0.0574
0.06983,0.0596
0.06983,0.0617
0.07006,0.0574
0.07006,0.0596
0.07006,0.0617
0.07028,0.0574
0.07028,0.0596
0.07028,0.0617
0.0705,0.0574
0.0705,0.0596
0.0705,0.0617
0.07072,0.0574
0.07072,0.0596
0.07072,0.0617
0.07094,0.0574
0.07094,0.0596
0.07094,0.0617
0.07116,0.0574
0.07116,0.0596
0.07116,0.0617
0.07138,0.0574
0.07138,0.0596
0.07138,0.0617
0.0716,0.0574
0.0716,0.0596
0.0716,0.0617
0.07182,0.0574
0.07182,0.0596
0.07182,0.0617
0.07204,0.0574
0.07204,0.0596
0.07204,0.0617
0.07227,0.0574
0.07227,0.0596
0.07227,0.0617
0.07249,0.0574
0.07249,0.0596
0.07249,0.0617
0.07271,0.0574
0.07271,0.0596
0.07271,0.0617
0.07293,0.0574
0.07293,0.0596
0.07293,0.0617
0.07315,0.0574
0.07315,0.0596
0.07315,0.0617
0.07337,0.0574
0.07337,0.0596
0.07337,0.0617
0.07359,0.0574
0.07359,0.0596
0.07359,0.0617
0.07381,0.0574
0.07381,0.0596
0.07381,0.0617
0.07403,0.0596
0.07403,0.0617
0.07425,0.0596
0.07425,0.0617
0.07448,0.0596
0.07448,0.0617
0.0747,0.0596
0.0747,0.0617
0.07492,0.0596
0.07492,0.0617
0.07514,0.0596
0.07514,0.0617
0.07536,0.0596
0.07536,0.0617
0.07558,0.0596
0.07558,0.0617
0.0758,0.0596
0.0758,0.0617
0.07602,0.0596
