kSyCb_permin,CycB_Cdk1_orbit_AU
0.04818,0.0362
0.04818,0.0383
0.04818,0.0404
0.04818,0.0426
0.04818,0.0447
0.04818,0.0468
0.04818,0.2043
0.04818,0.2064
0.04818,0.2085
0.04818,0.2106
0.04818,0.2128
0.04818,0.2149
0.0484,0.0383
0.0484,0.0404
0.0484,0.0426
0.0484,0.0447
0.0484,0.0468
0.0484,0.2043
0.0484,0.2064
0.0484,0.2085
0.0484,0.2106
0.0484,0.2128
0.04862,0.0383
0.04862,0.0404
0.04862,0.0426
0.04862,0.0447
0.04862,0.2064
0.04862,0.2085
0.04862,0.2106
0.04862,0.2128
0.0495,0.0426
0.0495,0.2106
0.04972,0.0383
0.04972,0.0404
0.04972,0.0426
0.04972,0.0447
0.04972,0.0468
0.04972,0.2085
0.04972,0.2106
0.04972,0.2128
0.04972,0.2149
0.04994,0.0383
0.04994,0.0404
0.04994,0.0426
0.04994,0.0447
0.04994,0.0468
0.04994,0.2064
0.04994,0.2085
0.04994,0.2106
0.04994,0.2128
0.04994,0.2149
0.05017,0.0383
0.05017,0.0404
0.05017,0.0426
0.05017,0.0447
0.05017,0.0468
0.05017,0.2064
0.05017,0.2085
0.05017,0.2106
0.05017,0.2128
0.05017,0.2149
0.05039,0.0383
0.05039,0.0404
0.05039,0.0426
0.05039,0.0447
0.05039,0.0468
0.05039,0.2064
0.05039,0.2085
0.05039,0.2106
0.05039,0.2128
0.05039,0.2149
0.05061,0.0404
0.05061,0.0426
0.05061,0.0447
0.05061,0.2085
0.05061,0.2106
0.05061,0.2128
0.05149,0.0426
0.05149,0.0447
0.05149,0.2043
0.05149,0.2064
0.05171,0.0404
0.05171,0.0426
0.05171,0.0447
0.05171,0.0468
0.05171,0.2021
0.05171,0.2043
0.05171,0.2064
0.05171,0.2085
0.05193,0.0383
0.05193,0.0404
0.05193,0.0426
0.05193,0.0447
0.05193,0.0468
0.05193,0.0489
0.05193,0.2
0.05193,0.2021
0.05193,0.2043
0.05193,0.2064
0.05193,0.2085
0.05193,0.2106
0.05215,0.0383
0.05215,0.0404
0.05215,0.0426
0.05215,0.0447
0.05215,0.0468
0.05215,0.0489
0.05215,0.2
0.05215,0.2021
0.05215,0.2043
0.05215,0.2064
0.05215,0.2085
0.05215,0.2106
0.05238,0.0404
0.05238,0.0426
0.05238,0.0447
0.05238,0.0468
0.05238,0.2021
0.05238,0.2043
0.05238,0.2064
0.05238,0.2085
0.0526,0.0426
0.0526,0.0447
0.0526,0.2043
0.0526,0.2064
0.05326,0.0426
0.05326,0.0447
0.05326,0.0468
0.05326,0.183
0.05326,0.1851
0.05326,0.1872
0.05348,0.0404
0.05348,0.0426
0.05348,0.0447
0.05348,0.0468
0.05348,0.0489
0.05348,0.1809
0.05348,0.183
0.05348,0.1851
0.05348,0.1872
0.05348,0.1894
0.0537,0.0404
0.0537,0.0426
0.0537,0.0447
0.0537,0.0468
0.0537,0.0489
0.0537,0.1809
0.0537,0.183
0.0537,0.1851
0.0537,0.1872
0.0537,0.1894
0.05392,0.0404
0.05392,0.0426
0.05392,0.0447
0.05392,0.0468
0.05392,0.0489
0.05392,0.1809
0.05392,0.183
0.05392,0.1851
0.05392,0.1872
0.05392,0.1894
0.05414,0.0404
0.05414,0.0426
0.05414,0.0447
0.05414,0.0468
0.05414,0.0489
0.05414,0.1809
0.05414,0.183
0.05414,0.1851
0.05414,0.1872
0.05414,0.1894
0.05436,0.0426
0.05436,0.0447
0.05436,0.0468
0.05436,0.0489
0.05436,0.1468
