tCycB_AU,CycB_Cdk1_ss_AU
0.511,0.1117
0.511,0.1168
0.511,0.1218
0.511,0.4975
0.511,0.5025
0.511,0.5076
0.5138,0.066
0.5138,0.1117
0.5138,0.1168
0.5138,0.1218
0.5138,0.5025
0.5138,0.5076
0.5138,0.5127
0.5166,0.066
0.5166,0.1168
0.5166,0.5025
0.5166,0.5076
0.5166,0.5127
0.5193,0.066
0.5193,0.5076
0.5193,0.5127
0.5193,0.5178
0.5221,0.066
0.5221,0.5076
0.5221,0.5127
0.5221,0.5178
0.5221,0.5228
0.5249,0.066
0.5249,0.0711
0.5249,0.5127
0.5249,0.5178
0.5249,0.5228
0.5276,0.066
0.5276,0.0711
0.5276,0.1168
0.5276,0.1218
0.5276,0.5127
0.5276,0.5178
0.5276,0.5228
0.5276,0.5279
0.5304,0.066
0.5304,0.0711
0.5304,0.1168
0.5304,0.1218
0.5304,0.5178
0.5304,0.5228
0.5304,0.5279
0.5331,0.066
0.5331,0.0711
0.5331,0.1168
0.5331,0.1218
0.5331,0.5178
0.5331,0.5228
0.5331,0.5279
0.5331,0.533
0.5359,0.066
0.5359,0.0711
0.5359,0.5228
0.5359,0.5279
0.5359,0.533
0.5387,0.066
0.5387,0.0711
0.5387,0.5279
0.5387,0.533
0.5387,0.5381
0.5414,0.0711
0.5414,0.5279
0.5414,0.533
0.5414,0.5381
0.5442,0.0711
0.5442,0.1168
0.5442,0.1218
0.5442,0.533
0.5442,0.5381
0.5442,0.5431
0.547,0.0711
0.547,0.1168
0.547,0.1218
0.547,0.1269
0.547,0.533
0.547,0.5381
0.547,0.5431
0.5497,0.0711
0.5497,0.1168
0.5497,0.1218
0.5497,0.5381
0.5497,0.5431
0.5497,0.5482
0.5525,0.0711
0.5525,0.5381
0.5525,0.5431
0.5525,0.5482
0.5552,0.0711
0.5552,0.0761
0.5552,0.5431
0.5552,0.5482
0.5552,0.5533
0.558,0.0711
0.558,0.0761
0.558,0.5431
0.558,0.5482
0.558,0.5533
0.5608,0.0711
0.5608,0.0761
0.5608,0.1218
0.5608,0.5482
0.5608,0.5533
0.5608,0.5584
0.5635,0.0711
0.5635,0.0761
0.5635,0.1168
0.5635,0.1218
0.5635,0.1269
0.5635,0.5482
0.5635,0.5533
0.5635,0.5584
0.5635,0.5635
0.5663,0.0711
0.5663,0.0761
0.5663,0.1168
0.5663,0.1218
0.5663,0.1269
0.5663,0.5533
0.5663,0.5584
0.5663,0.5635
0.5691,0.0711
0.5691,0.0761
0.5691,0.5533
0.5691,0.5584
0.5691,0.5635
0.5691,0.5685
0.5718,0.0761
0.5718,0.5584
0.5718,0.5635
0.5718,0.5685
0.5746,0.0761
0.5746,0.5584
0.5746,0.5635
0.5746,0.5685
0.5746,0.5736
0.5773,0.0761
0.5773,0.5635
0.5773,0.5685
0.5773,0.5736
0.5801,0.0761
0.5801,0.1168
0.5801,0.1218
0.5801,0.1269
0.5801,0.5635
0.5801,0.5685
0.5801,0.5736
0.5801,0.5787
0.5829,0.0761
0.5829,0.0812
0.5829,0.1168
0.5829,0.1218
0.5829,0.1269
0.5829,0.5685
0.5829,0.5736
0.5829,0.5787
0.5856,0.0761
0.5856,0.0812
0.5856,0.5736
0.5856,0.5787
0.5856,0.5838
0.5884,0.0761
0.5884,0.0812
0.5884,0.5736
0.5884,0.5787
0.5884,0.5838
0.5912,0.0761
0.5912,0.0812
0.5912,0.5787
0.5912,0.5838
0.5912,0.5888
0.5939,0.0761
0.5939,0.0812
0.5939,0.5787
0.5939,0.5838
0.5939,0.5888
