CycD_AU,CycE_ss_AU
-0.146,0.9036
-0.1405,0.0914
-0.1405,0.0964
-0.1405,0.1015
-0.1405,0.3503
-0.1405,0.3553
-0.1405,0.8934
-0.1405,0.8985
-0.1405,0.9036
-0.135,0.0914
-0.135,0.0964
-0.135,0.1015
-0.135,0.3553
-0.135,0.8934
-0.135,0.8985
-0.135,0.9036
-0.1295,0.0914
-0.1295,0.0964
-0.1295,0.1015
-0.1295,0.8934
-0.1295,0.8985
-0.1295,0.9036
-0.124,0.0914
-0.124,0.0964
-0.124,0.1015
-0.124,0.8934
-0.124,0.8985
-0.124,0.9036
-0.1185,0.0914
-0.1185,0.0964
-0.1185,0.1015
-0.1185,0.335
-0.1185,0.3401
-0.1185,0.3452
-0.1185,0.8934
-0.1185,0.8985
-0.1185,0.9036
-0.1129,0.0914
-0.1129,0.0964
-0.1129,0.1015
-0.1129,0.3299
-0.1129,0.335
-0.1129,0.3401
-0.1129,0.3452
-0.1129,0.8934
-0.1129,0.8985
-0.1129,0.9036
-0.1074,0.0914
-0.1074,0.0964
-0.1074,0.1015
-0.1074,0.335
-0.1074,0.3401
-0.1074,0.3452
-0.1074,0.8934
-0.1074,0.8985
-0.1074,0.9036
-0.1019,0.0914
-0.1019,0.0964
-0.1019,0.1015
-0.1019,0.8934
-0.1019,0.8985
-0.1019,0.9036
-0.0964,0.0914
-0.0964,0.0964
-0.0964,0.1015
-0.0964,0.8934
-0.0964,0.8985
-0.0964,0.9036
-0.0909,0.0914
-0.0909,0.0964
-0.0909,0.1015
-0.0909,0.3198
-0.0909,0.3249
-0.0909,0.8934
-0.0909,0.8985
-0.0909,0.9036
-0.0854,0.0914
-0.0854,0.0964
-0.0854,0.1015
-0.0854,0.3147
-0.0854,0.3198
-0.0854,0.3249
-0.0854,0.3299
-0.0854,0.8934
-0.0854,0.8985
-0.0854,0.9036
-0.0799,0.0914
-0.0799,0.0964
-0.0799,0.1015
-0.0799,0.3147
-0.0799,0.3198
-0.0799,0.3249
-0.0799,0.8934
-0.0799,0.8985
-0.0799,0.9036
-0.0744,0.0914
-0.0744,0.0964
-0.0744,0.1015
-0.0744,0.8934
-0.0744,0.8985
-0.0744,0.9036
-0.0689,0.0914
-0.0689,0.0964
-0.0689,0.1015
-0.0689,0.8934
-0.0689,0.8985
-0.0689,0.9036
-0.0634,0.0914
-0.0634,0.0964
-0.0634,0.1015
-0.0634,0.8934
-0.0634,0.8985
-0.0634,0.9036
-0.0579,0.0914
-0.0579,0.0964
-0.0579,0.1015
-0.0579,0.3046
-0.0579,0.3096
-0.0579,0.8934
-0.0579,0.8985
-0.0579,0.9036
-0.0523,0.0914
-0.0523,0.0964
-0.0523,0.1015
-0.0523,0.3046
-0.0523,0.3096
-0.0523,0.8934
-0.0523,0.8985
