# Fig. 2d - simulated time courses, amino acids + wortmannin
# Dalle Pezze P et al. (2016) Nature Communications 7:13254. doi:10.1038/ncomms13254
# Digitized by digitize_dallepezze2016.py from a 600 dpi render of page 5.
# Both axes calibrated on their tick marks; the per-panel residuals printed by the script bound the accuracy of these values.
# value_au is the centre of the red ink in that pixel column; ink_lo_au and ink_hi_au are its extent, which is wide wherever the curve is steep and the centre is therefore not a value the figure claims.
# Values are the paper's arbitrary relative units and are not comparable between readouts.
readout,time_min,value_au,ink_lo_au,ink_hi_au
S6K_pT389,51.0983,4.03407,3.87683,4.19132
S6K_pT389,51.3555,4.03407,3.87683,4.19132
S6K_pT389,51.6126,4.03407,3.87683,4.19132
S6K_pT389,51.8697,4.03407,3.87683,4.19132
S6K_pT389,52.1269,4.03407,3.87683,4.19132
S6K_pT389,52.384,4.03407,3.87683,4.19132
S6K_pT389,52.6412,4.03407,3.87683,4.19132
S6K_pT389,52.8983,4.01161,3.8319,4.19132
S6K_pT389,53.1554,4.01161,3.8319,4.19132
S6K_pT389,53.4126,4.01161,3.8319,4.19132
S6K_pT389,53.6697,4.01161,3.8319,4.19132
S6K_pT389,53.9268,4.01161,3.8319,4.19132
S6K_pT389,54.184,4.01161,3.8319,4.19132
S6K_pT389,54.4411,4.01161,3.8319,4.19132
S6K_pT389,54.6983,4.01161,3.8319,4.19132
S6K_pT389,54.9554,4.01161,3.8319,4.19132
S6K_pT389,55.2125,4.01161,3.8319,4.19132
S6K_pT389,55.4697,3.98915,3.8319,4.14639
S6K_pT389,55.7268,3.98915,3.8319,4.14639
S6K_pT389,55.984,3.98915,3.8319,4.14639
S6K_pT389,56.2411,4.01161,3.8319,4.19132
S6K_pT389,56.4982,4.01161,3.8319,4.19132
S6K_pT389,56.7554,3.98915,3.78698,4.19132
S6K_pT389,57.0125,3.98915,3.78698,4.19132
S6K_pT389,57.2696,3.98915,3.78698,4.19132
S6K_pT389,57.5268,3.98915,3.78698,4.19132
S6K_pT389,57.7839,3.98915,3.78698,4.19132
S6K_pT389,58.0411,3.98915,3.78698,4.19132
S6K_pT389,58.2982,3.96668,3.78698,4.14639
S6K_pT389,58.5553,3.96668,3.78698,4.14639
S6K_pT389,58.8125,3.96668,3.78698,4.14639
S6K_pT389,59.0696,3.96668,3.78698,4.14639
S6K_pT389,59.3268,3.96668,3.78698,4.14639
S6K_pT389,59.5839,3.96668,3.78698,4.14639
S6K_pT389,59.841,3.96668,3.78698,4.14639
S6K_pT389,60.0982,3.96668,3.78698,4.14639
S6K_pT389,60.3553,3.96668,3.78698,4.14639
S6K_pT389,60.6124,3.96668,3.78698,4.14639
S6K_pT389,60.8696,3.96668,3.78698,4.14639
S6K_pT389,61.1267,3.96668,3.78698,4.14639
S6K_pT389,61.3839,3.96668,3.78698,4.14639
S6K_pT389,61.641,3.96668,3.78698,4.14639
S6K_pT389,61.8981,3.96668,3.78698,4.14639
S6K_pT389,62.1553,3.96668,3.78698,4.14639
S6K_pT389,62.4124,3.96668,3.78698,4.14639
S6K_pT389,62.6696,3.96668,3.78698,4.14639
S6K_pT389,62.9267,3.96668,3.78698,4.14639
S6K_pT389,63.1838,3.96668,3.78698,4.14639
S6K_pT389,63.441,3.96668,3.78698,4.14639
S6K_pT389,63.6981,3.96668,3.78698,4.14639
S6K_pT389,63.9552,3.96668,3.78698,4.14639
S6K_pT389,64.2124,3.96668,3.78698,4.14639
S6K_pT389,64.4695,3.96668,3.78698,4.14639
S6K_pT389,64.7267,3.96668,3.78698,4.14639
S6K_pT389,64.9838,3.96668,3.78698,4.14639
S6K_pT389,65.2409,3.96668,3.78698,4.14639
S6K_pT389,65.4981,3.96668,3.78698,4.14639
S6K_pT389,65.7552,3.96668,3.78698,4.14639
S6K_pT389,66.0124,3.96668,3.78698,4.14639
S6K_pT389,66.2695,3.96668,3.78698,4.14639
S6K_pT389,66.5266,3.96668,3.78698,4.14639
S6K_pT389,66.7838,3.96668,3.78698,4.14639
S6K_pT389,67.0409,3.96668,3.78698,4.14639
S6K_pT389,67.298,3.96668,3.78698,4.14639
S6K_pT389,67.5552,3.96668,3.78698,4.14639
S6K_pT389,67.8123,3.96668,3.78698,4.14639
S6K_pT389,68.0695,3.96668,3.78698,4.14639
S6K_pT389,68.3266,3.96668,3.78698,4.14639
S6K_pT389,68.5837,3.96668,3.78698,4.14639
S6K_pT389,68.8409,3.96668,3.78698,4.14639
S6K_pT389,69.098,3.94422,3.78698,4.10146
S6K_pT389,69.3551,3.96668,3.78698,4.14639
S6K_pT389,69.6123,3.96668,3.78698,4.14639
S6K_pT389,69.8694,3.96668,3.78698,4.14639
S6K_pT389,70.1266,3.96668,3.78698,4.14639
S6K_pT389,70.3837,3.96668,3.78698,4.14639
S6K_pT389,70.6408,3.96668,3.78698,4.14639
S6K_pT389,70.898,3.96668,3.78698,4.14639
S6K_pT389,71.1551,3.96668,3.78698,4.14639
S6K_pT389,71.4123,3.96668,3.78698,4.14639
S6K_pT389,71.6694,3.96668,3.78698,4.14639
S6K_pT389,71.9265,3.96668,3.78698,4.14639
S6K_pT389,72.1837,3.96668,3.78698,4.14639
S6K_pT389,72.4408,3.94422,3.78698,4.10146
S6K_pT389,72.6979,3.94422,3.78698,4.10146
S6K_pT389,72.9551,3.94422,3.78698,4.10146
S6K_pT389,73.2122,3.94422,3.78698,4.10146
S6K_pT389,73.4694,3.94422,3.78698,4.10146
S6K_pT389,73.7265,3.94422,3.78698,4.10146
S6K_pT389,73.9836,3.94422,3.78698,4.10146
S6K_pT389,74.2408,3.94422,3.78698,4.10146
S6K_pT389,74.4979,3.94422,3.78698,4.10146
S6K_pT389,74.7551,3.94422,3.78698,4.10146
S6K_pT389,75.0122,3.94422,3.78698,4.10146
S6K_pT389,75.2693,3.94422,3.78698,4.10146
S6K_pT389,75.5265,3.94422,3.78698,4.10146
S6K_pT389,75.7836,3.94422,3.78698,4.10146
S6K_pT389,76.0407,3.94422,3.78698,4.10146
S6K_pT389,76.2979,3.94422,3.78698,4.10146
S6K_pT389,76.555,3.94422,3.78698,4.10146
S6K_pT389,76.8122,3.94422,3.78698,4.10146
S6K_pT389,77.0693,3.94422,3.78698,4.10146
S6K_pT389,77.3264,3.94422,3.78698,4.10146
S6K_pT389,77.5836,3.94422,3.78698,4.10146
S6K_pT389,77.8407,3.94422,3.78698,4.10146
S6K_pT389,78.0979,3.94422,3.78698,4.10146
S6K_pT389,78.355,3.94422,3.78698,4.10146
S6K_pT389,78.6121,3.94422,3.78698,4.10146
S6K_pT389,78.8693,3.94422,3.78698,4.10146
S6K_pT389,79.1264,3.94422,3.78698,4.10146
S6K_pT389,79.3835,3.94422,3.78698,4.10146
S6K_pT389,79.6407,3.94422,3.78698,4.10146
S6K_pT389,79.8978,3.94422,3.78698,4.10146
S6K_pT389,80.155,3.94422,3.78698,4.10146
S6K_pT389,80.4121,3.94422,3.78698,4.10146
S6K_pT389,80.6692,3.94422,3.78698,4.10146
S6K_pT389,80.9264,3.94422,3.78698,4.10146
S6K_pT389,81.1835,3.94422,3.78698,4.10146
S6K_pT389,81.4407,3.94422,3.78698,4.10146
S6K_pT389,81.6978,3.94422,3.78698,4.10146
S6K_pT389,81.9549,3.94422,3.78698,4.10146
S6K_pT389,82.2121,3.94422,3.78698,4.10146
S6K_pT389,82.4692,3.94422,3.78698,4.10146
S6K_pT389,82.7263,3.94422,3.78698,4.10146
S6K_pT389,82.9835,3.94422,3.78698,4.10146
S6K_pT389,83.2406,3.94422,3.78698,4.10146
S6K_pT389,83.4978,3.94422,3.78698,4.10146
S6K_pT389,83.7549,3.94422,3.78698,4.10146
S6K_pT389,84.012,3.94422,3.78698,4.10146
S6K_pT389,84.2692,3.94422,3.78698,4.10146
S6K_pT389,84.5263,3.94422,3.78698,4.10146
S6K_pT389,84.7835,3.94422,3.78698,4.10146
S6K_pT389,85.0406,3.94422,3.78698,4.10146
S6K_pT389,85.2977,3.94422,3.78698,4.10146
S6K_pT389,85.5549,3.94422,3.78698,4.10146
S6K_pT389,85.812,3.94422,3.78698,4.10146
S6K_pT389,86.0691,3.94422,3.78698,4.10146
S6K_pT389,86.3263,3.94422,3.78698,4.10146
S6K_pT389,86.5834,3.94422,3.78698,4.10146
S6K_pT389,86.8406,3.94422,3.78698,4.10146
S6K_pT389,87.0977,3.94422,3.78698,4.10146
S6K_pT389,87.3548,3.94422,3.78698,4.10146
S6K_pT389,87.612,3.94422,3.78698,4.10146
S6K_pT389,87.8691,3.94422,3.78698,4.10146
S6K_pT389,88.1263,3.94422,3.78698,4.10146
S6K_pT389,88.3834,3.94422,3.78698,4.10146
S6K_pT389,88.6405,3.94422,3.78698,4.10146
S6K_pT389,88.8977,3.94422,3.78698,4.10146
S6K_pT389,89.1548,3.94422,3.78698,4.10146
S6K_pT389,89.4119,3.94422,3.78698,4.10146
S6K_pT389,89.6691,3.94422,3.78698,4.10146
S6K_pT389,89.9262,3.94422,3.78698,4.10146
S6K_pT389,90.1834,3.94422,3.78698,4.10146
S6K_pT389,90.4405,3.94422,3.78698,4.10146
S6K_pT389,90.6976,3.94422,3.78698,4.10146
S6K_pT389,90.9548,3.94422,3.78698,4.10146
S6K_pT389,91.2119,3.94422,3.78698,4.10146
S6K_pT389,91.469,3.94422,3.78698,4.10146
S6K_pT389,91.7262,3.94422,3.78698,4.10146
S6K_pT389,91.9833,3.94422,3.78698,4.10146
S6K_pT389,92.2405,3.94422,3.78698,4.10146
S6K_pT389,92.4976,3.94422,3.78698,4.10146
S6K_pT389,92.7547,3.94422,3.78698,4.10146
S6K_pT389,93.0119,3.94422,3.78698,4.10146
S6K_pT389,93.269,3.94422,3.78698,4.10146
S6K_pT389,93.5262,3.94422,3.78698,4.10146
S6K_pT389,93.7833,3.94422,3.78698,4.10146
S6K_pT389,94.0404,3.94422,3.78698,4.10146
S6K_pT389,94.2976,3.94422,3.78698,4.10146
S6K_pT389,94.5547,3.94422,3.78698,4.10146
S6K_pT389,94.8118,3.94422,3.78698,4.10146
S6K_pT389,95.069,3.94422,3.78698,4.10146
S6K_pT389,95.3261,3.94422,3.78698,4.10146
S6K_pT389,95.5833,3.94422,3.78698,4.10146
S6K_pT389,95.8404,3.94422,3.78698,4.10146
S6K_pT389,96.0975,3.94422,3.78698,4.10146
S6K_pT389,96.3547,3.94422,3.78698,4.10146
S6K_pT389,96.6118,3.94422,3.78698,4.10146
S6K_pT389,96.869,3.94422,3.78698,4.10146
S6K_pT389,97.1261,3.94422,3.78698,4.10146
S6K_pT389,97.3832,3.94422,3.78698,4.10146
S6K_pT389,97.6404,3.94422,3.78698,4.10146
S6K_pT389,97.8975,3.94422,3.78698,4.10146
S6K_pT389,98.1546,3.94422,3.78698,4.10146
S6K_pT389,98.4118,3.94422,3.78698,4.10146
S6K_pT389,98.6689,3.94422,3.78698,4.10146
S6K_pT389,98.9261,3.94422,3.78698,4.10146
S6K_pT389,99.1832,3.94422,3.78698,4.10146
S6K_pT389,99.4403,3.94422,3.78698,4.10146
S6K_pT389,99.6975,3.94422,3.78698,4.10146
S6K_pT389,99.9546,3.94422,3.78698,4.10146
S6K_pT389,100.212,3.94422,3.78698,4.10146
S6K_pT389,100.469,3.94422,3.78698,4.10146
S6K_pT389,100.726,3.94422,3.78698,4.10146
S6K_pT389,100.983,3.94422,3.78698,4.10146
S6K_pT389,101.24,3.94422,3.78698,4.10146
S6K_pT389,101.497,3.94422,3.78698,4.10146
S6K_pT389,101.755,3.94422,3.78698,4.10146
S6K_pT389,102.012,3.94422,3.78698,4.10146
S6K_pT389,102.269,3.94422,3.78698,4.10146
S6K_pT389,102.526,3.94422,3.78698,4.10146
S6K_pT389,102.783,3.94422,3.78698,4.10146
S6K_pT389,103.04,3.94422,3.78698,4.10146
S6K_pT389,103.297,3.94422,3.78698,4.10146
S6K_pT389,103.555,3.94422,3.78698,4.10146
S6K_pT389,103.812,3.94422,3.78698,4.10146
S6K_pT389,104.069,3.94422,3.78698,4.10146
S6K_pT389,104.326,3.94422,3.78698,4.10146
S6K_pT389,104.583,3.94422,3.78698,4.10146
S6K_pT389,104.84,3.94422,3.78698,4.10146
S6K_pT389,105.097,3.94422,3.78698,4.10146
S6K_pT389,105.355,3.94422,3.78698,4.10146
S6K_pT389,105.612,3.94422,3.78698,4.10146
S6K_pT389,105.869,3.94422,3.78698,4.10146
S6K_pT389,106.126,3.94422,3.78698,4.10146
S6K_pT389,106.383,3.94422,3.78698,4.10146
S6K_pT389,106.64,3.94422,3.78698,4.10146
S6K_pT389,106.897,3.94422,3.78698,4.10146
S6K_pT389,107.154,3.94422,3.78698,4.10146
S6K_pT389,107.412,3.94422,3.78698,4.10146
S6K_pT389,107.669,3.94422,3.78698,4.10146
S6K_pT389,107.926,3.94422,3.78698,4.10146
S6K_pT389,108.183,3.92176,3.74205,4.10146
S6K_pT389,108.44,3.92176,3.74205,4.10146
S6K_pT389,108.697,3.92176,3.74205,4.10146
S6K_pT389,108.954,3.92176,3.74205,4.10146
S6K_pT389,109.212,3.92176,3.74205,4.10146
S6K_pT389,109.469,3.92176,3.74205,4.10146
S6K_pT389,109.726,3.92176,3.74205,4.10146
S6K_pT389,109.983,3.92176,3.74205,4.10146
S6K_pT389,110.24,3.94422,3.78698,4.10146
S6K_pT389,110.497,3.94422,3.78698,4.10146
S6K_pT389,110.754,3.94422,3.78698,4.10146
S6K_pT389,111.012,3.92176,3.74205,4.10146
S6K_pT389,111.269,3.92176,3.74205,4.10146
S6K_pT389,111.526,3.92176,3.74205,4.10146
S6K_pT389,111.783,3.94422,3.78698,4.10146
S6K_pT389,112.04,3.94422,3.78698,4.10146
S6K_pT389,112.297,3.92176,3.74205,4.10146
S6K_pT389,112.554,3.92176,3.74205,4.10146
S6K_pT389,112.812,3.92176,3.74205,4.10146
S6K_pT389,113.069,3.94422,3.78698,4.10146
S6K_pT389,113.326,3.94422,3.78698,4.10146
S6K_pT389,113.583,3.94422,3.78698,4.10146
S6K_pT389,113.84,3.92176,3.74205,4.10146
S6K_pT389,114.097,3.92176,3.74205,4.10146
S6K_pT389,114.354,3.92176,3.74205,4.10146
S6K_pT389,114.612,3.94422,3.78698,4.10146
S6K_pT389,114.869,3.94422,3.78698,4.10146
S6K_pT389,115.126,3.92176,3.74205,4.10146
S6K_pT389,115.383,3.92176,3.74205,4.10146
S6K_pT389,115.64,3.92176,3.74205,4.10146
S6K_pT389,115.897,3.92176,3.74205,4.10146
S6K_pT389,116.154,3.92176,3.74205,4.10146
S6K_pT389,116.411,3.92176,3.74205,4.10146
